grid_index,label
0,RA3_EIS0.55_PRTP0.001
1,RA3_EIS0.55_PRTP0.005
2,RA3_EIS0.55_PRTP0.024
3,RA3_EIS0.9_PRTP0.001
4,RA3_EIS0.9_PRTP0.005
5,RA3_EIS0.9_PRTP0.024
6,RA7_EIS0.55_PRTP0.001
7,RA7_EIS0.55_PRTP0.005
8,RA7_EIS0.55_PRTP0.024
9,RA7_EIS0.9_PRTP0.001
10,RA7_EIS0.9_PRTP0.005
11,RA7_EIS0.9_PRTP0.024
12,RA15_EIS0.55_PRTP0.001
13,RA15_EIS0.55_PRTP0.005
14,RA15_EIS0.55_PRTP0.024
15,RA15_EIS0.9_PRTP0.001
16,RA15_EIS0.9_PRTP0.005
17,RA15_EIS0.9_PRTP0.024
