sample_index,delay_year,task_id,run_type,comparison_type,tree_spec,decision_times_optimal,decision_times_delayed,ra,eis,pref,tech_chg,tech_scale,bs_premium,backstop_smoothing_width,backstop_smoothing_mode,cost_formulation,growth,baseline_num,dam_func,tip_on,d_unc,t_unc,no_free_lunch,period_len,emissions_time_step,damage_file_tag,u_optimal,u_delayed,utility_loss,mac_grid_point,mac_horizontal_shift,mac_vertical_shift,mac_shift_formula,mac_policy_cap,mac_grid_ra,mac_grid_eis,mac_grid_prtp,m_opt_2025,m_opt_2030,m_opt_2035,m_opt_2040,m_opt_2060,m_opt_2100,m_opt_2150,m_opt_2200,m_opt_2250,m_delay_2025,m_delay_2030,m_delay_2035,m_delay_2040,m_delay_2060,m_delay_2100,m_delay_2150,m_delay_2200,m_delay_2250,T_opt_2025,T_opt_2030,T_opt_2035,T_opt_2040,T_opt_2060,T_opt_2100,T_opt_2150,T_opt_2200,T_opt_2250,T_delay_2025,T_delay_2030,T_delay_2035,T_delay_2040,T_delay_2060,T_delay_2100,T_delay_2150,T_delay_2200,T_delay_2250,conc_opt_2025,conc_opt_2030,conc_opt_2035,conc_opt_2040,conc_opt_2060,conc_opt_2100,conc_opt_2150,conc_opt_2200,conc_opt_2250,conc_delay_2025,conc_delay_2030,conc_delay_2035,conc_delay_2040,conc_delay_2060,conc_delay_2100,conc_delay_2150,conc_delay_2200,conc_delay_2250,dam_opt_2025,dam_opt_2030,dam_opt_2035,dam_opt_2040,dam_opt_2060,dam_opt_2100,dam_opt_2150,dam_opt_2200,dam_opt_2250,dam_delay_2025,dam_delay_2030,dam_delay_2035,dam_delay_2040,dam_delay_2060,dam_delay_2100,dam_delay_2150,dam_delay_2200,dam_delay_2250,price_opt_2025,price_opt_2030,price_opt_2035,price_opt_2040,price_opt_2060,price_opt_2100,price_opt_2150,price_opt_2200,price_opt_2250,price_delay_2025,price_delay_2030,price_delay_2035,price_delay_2040,price_delay_2060,price_delay_2100,price_delay_2150,price_delay_2200,price_delay_2250
mac_p055_h0p2_v250,15,165,mac_shift_grid,mac_base_m_plus_h_plus_v,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.4882691448049075,7.483108864131005,0.0051602806739028395,55,0.2,250.0,MAC_base(m+h)+v,1.0,7.0,0.9,0.005,0.0,0.07094615202620369,0.1146319844936548,0.15862375803126455,0.21121627764079384,0.2286919532584386,0.21773922337698642,0.22344503752815492,nan,0.0,1.1102230246251565e-16,0.0,0.0,0.14236025780042771,0.18660997503972473,0.17972987011974406,0.18706212604145322,nan,1.4196,1.522910060166807,1.6185793111644209,1.7050743474850851,2.038689769161743,2.439441425603399,2.6180379969692114,2.7070471227157826,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7588945192,2.0927325393407097,2.495083195244063,2.6762690300785916,2.7673661947367476,nan,425.6,446.0525421976606,460.21270169449394,470.86641441427383,506.54967886427335,520.6751388351219,499.7034779421024,476.95725067134066,nan,425.6,447.78084386976184,465.5475315098372,481.5023071324044,514.1620990391823,526.9717558889663,505.5448524230064,482.596429796224,nan,0.0,0.0005828209493440497,0.0012445648190230368,0.0019469668194016896,0.0056705031342083835,0.02636854773404834,0.03219944305376912,0.03468009068948857,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002605083858391802,0.006611511654973369,0.029110270381797337,0.03525432371598493,0.03790247226237676,nan,324.30087975261995,333.52009948590825,340.71930624497963,324.87942530571235,224.49378233700892,93.41498939428199,46.53372194846412,21.69961849837285,nan,306.5610989664851,284.24850994506653,263.5599091939051,333.57354109115585,230.46104987502338,96.19471732819665,48.8137797164336,23.119242996456435,nan
mac_p066_h0p25_v250,15,198,mac_shift_grid,mac_base_m_plus_h_plus_v,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.481479571773325,7.477107475425403,0.0043720963479216834,66,0.25,250.0,MAC_base(m+h)+v,1.0,7.0,0.9,0.005,0.0,0.043160778209315964,0.09265193250907638,0.13509813803377999,0.18792825581470435,0.2042460548276882,0.19304267648236798,0.1983610229736399,nan,0.0,1.1102230246251565e-16,0.0,0.0,0.12817712066065662,0.16577035589346362,0.15860729953241895,0.1655347668835952,nan,1.4196,1.5259997719709617,1.6235191503348574,1.7130564614110135,2.056967752907941,2.471764360662996,2.6558735641827598,2.748633802249161,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7588945192,2.1038644058447344,2.52263782401909,2.708629199400636,2.803056310629167,nan,425.6,446.7294148208573,461.171718294989,472.3641564944148,509.48663401543513,524.9102156015325,503.8946211580858,481.1572433800909,nan,425.6,447.78084386976184,465.5475315098372,481.5023071324044,516.141271522471,530.7766402830475,509.20248818164396,486.2470863869184,nan,0.0,0.0006025502384988734,0.00128898986615575,0.0020329212730002327,0.0059739023331752215,0.0279580655876609,0.03423526697067823,0.036951524189316805,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002605083858391802,0.006820015583739842,0.030508384187382213,0.03704267572689374,0.03990998279180303,nan,330.4755402523845,343.0786682836873,348.5495823275352,333.6758683027177,231.13703145515058,97.32675622784956,49.64729629006651,23.4282407639377,nan,318.7599511783242,295.55948702580315,274.0476338010435,340.27136457254005,235.45628154348174,100.0999488178987,51.98707001234138,24.86626142688762,nan
mac_p066_h0p25_v250,10,197,mac_shift_grid,mac_base_m_plus_h_plus_v,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.481479571773325,7.480159666398598,0.0013199053747268152,66,0.25,250.0,MAC_base(m+h)+v,1.0,7.0,0.9,0.005,0.0,0.043160778209315964,0.09265193250907638,0.13509813803377999,0.18792825581470435,0.2042460548276882,0.19304267648236798,0.1983610229736399,nan,0.0,1.1102230246251565e-16,0.0,0.07403061532845934,0.16116354021725682,0.18708832067823275,0.17759765420231272,0.18366055910752238,nan,1.4196,1.5259997719709617,1.6235191503348574,1.7130564614110135,2.056967752907941,2.471764360662996,2.6558735641827598,2.748633802249161,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7337763371660502,2.077974476463727,2.494450715523453,2.6795356243519537,2.7730056378843058,nan,425.6,446.7294148208573,461.171718294989,472.3641564944148,509.48663401543513,524.9102156015325,503.8946211580858,481.1572433800909,nan,425.6,447.78084386976184,465.5475315098372,475.9891824706526,512.3800983836427,527.4897861384993,506.26628625439747,483.4273730457857,nan,0.0,0.0006025502384988734,0.00128898986615575,0.0020329212730002327,0.0059739023331752215,0.0279580655876609,0.03423526697067823,0.036951524189316805,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.0022752834358127035,0.006338745501517894,0.029044637704428222,0.03544240491599954,0.03822360692613623,nan,330.4755402523845,343.0786682836873,348.5495823275352,333.6758683027177,231.13703145515058,97.32675622784956,49.64729629006651,23.4282407639377,nan,318.7599511783242,295.55948702580315,351.5089978248377,336.8269629527091,233.0623111585751,98.54030676212022,50.63161811801682,24.001702367031832,nan
mac_p054_h0p2_v225,10,161,mac_shift_grid,mac_base_m_plus_h_plus_v,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.496738842055222,7.494351562221534,0.0023872798336874723,54,0.2,225.0,MAC_base(m+h)+v,1.0,7.0,0.9,0.005,0.0,0.13478877470889372,0.1562744558486151,0.19683998620169407,0.25027402463324533,0.2650677800499405,0.2540430170481592,0.25993576797067897,nan,0.0,1.1102230246251565e-16,0.0,0.0939633363482188,0.20433585575731106,0.2360932615526959,0.22834947404350847,0.23515809417284902,nan,1.4196,1.5158108105324184,1.6092205020361567,1.6921077907223618,2.0080346594223926,2.391344461998172,2.562419912732027,2.646549298113022,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7270132741713031,2.0440899804932346,2.4296552437607053,2.6017828964501475,2.687628096627252,nan,425.6,444.4972878479523,458.44626759388785,468.5246299482064,501.62627456531726,514.4923081954855,493.6083113600401,470.9072853339214,nan,425.6,447.78084386976184,465.5475315098372,474.50477530555906,506.5823358225981,518.8165749555399,497.5123758303586,474.74378148892396,nan,0.0,0.0005379584833136589,0.0011655996031265236,0.0018182536676605312,0.005212580273113891,0.02447708453263018,0.029791234528531198,0.0319915556004884,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002198154501239511,0.0057807979564577245,0.026167343432588176,0.03163561277132921,0.0339444536829573,nan,315.96589027795443,317.6644464815747,329.7207118851629,315.2130974735753,214.8725832739826,86.58478831658736,42.72374067973786,19.54669953604867,nan,279.5986797944611,259.24850994506653,334.85605935736334,319.9298069874635,218.29849473815528,88.59299068776083,44.109073882702134,20.491156917916758,nan
mac_p066_h0p25_v250,5,196,mac_shift_grid,mac_base_m_plus_h_plus_v,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.481479571773325,7.48144079865456,3.87731187645457e-05,66,0.25,250.0,MAC_base(m+h)+v,1.0,7.0,0.9,0.005,0.0,0.043160778209315964,0.09265193250907638,0.13509813803377999,0.18792825581470435,0.2042460548276882,0.19304267648236798,0.1983610229736399,nan,0.0,1.1102230246251565e-16,0.07159994516225276,0.12135289893823006,0.18191523811352217,0.20023034863113376,0.18939867669780008,0.19486596301506048,nan,1.4196,1.5259997719709617,1.6235191503348574,1.7130564614110135,2.056967752907941,2.471764360662996,2.6558735641827598,2.748633802249161,nan,1.4196,1.5307992167000002,1.628250414473101,1.717720145701227,2.0616871679200264,2.4770740207263136,2.6614562393382575,2.7544282470790145,nan,425.6,446.7294148208573,461.171718294989,472.3641564944148,509.48663401543513,524.9102156015325,503.8946211580858,481.1572433800909,nan,425.6,447.78084386976184,462.0156693704766,473.1109574929696,510.1163286255595,525.5130282885084,504.45477167530083,481.69872229152134,nan,0.0,0.0006025502384988734,0.00128898986615575,0.0020329212730002327,0.0059739023331752215,0.0279580655876609,0.03423526697067823,0.036951524189316805,nan,0.0,0.0006332068992394159,0.0013276226920272294,0.0020785937531959107,0.006045934163476288,0.02816953916760844,0.03447665734119326,0.037209868790268844,nan,330.4755402523845,343.0786682836873,348.5495823275352,333.6758683027177,231.13703145515058,97.32675622784956,49.64729629006651,23.4282407639377,nan,318.7599511783242,343.3536832236197,349.269749718699,334.3301572765252,231.4751039957576,97.60526594394494,49.867918817927006,23.558038939382982,nan
mac_p055_h0p2_v250,5,163,mac_shift_grid,mac_base_m_plus_h_plus_v,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.4882691448049075,7.488170098064599,9.904674030813965e-05,55,0.2,250.0,MAC_base(m+h)+v,1.0,7.0,0.9,0.005,0.0,0.07094615202620369,0.1146319844936548,0.15862375803126455,0.21121627764079384,0.2286919532584386,0.21773922337698642,0.22344503752815492,nan,0.0,1.1102230246251565e-16,0.08015441042685162,0.13604043114935224,0.20160195381595034,0.22310771730834078,0.21282987778473628,0.21877966796034778,nan,1.4196,1.522910060166807,1.6185793111644209,1.7050743474850851,2.038689769161743,2.439441425603399,2.6180379969692114,2.7070471227157826,nan,1.4196,1.5307992167000002,1.626327867491599,1.7127367465214198,2.046235728020486,2.4468250321615215,2.6255592053358185,2.7147818187988,nan,425.6,446.0525421976606,460.21270169449394,470.86641441427383,506.54967886427335,520.6751388351219,499.7034779421024,476.95725067134066,nan,425.6,447.78084386976184,461.5936970921174,472.09433440562,507.54740592547876,521.4708122262701,500.4313663111475,477.6632825019789,nan,0.0,0.0005828209493440497,0.0012445648190230368,0.0019469668194016896,0.0056705031342083835,0.02636854773404834,0.03219944305376912,0.03468009068948857,nan,0.0,0.0006332068992394159,0.0013077678209683875,0.0020205908175262182,0.005781337750162356,0.0266633575823488,0.03252324113376788,0.03502223438137011,nan,324.30087975261995,333.52009948590825,340.71930624497963,324.87942530571235,224.49378233700892,93.41498939428199,46.53372194846412,21.69961849837285,nan,306.5610989664851,334.06583053587553,341.9217563530282,325.9710393392415,225.40022318986775,93.87642779726215,46.83865375734094,21.88906838596902,nan
mac_p065_h0p25_v225,15,195,mac_shift_grid,mac_base_m_plus_h_plus_v,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.489118664374463,7.483527287660991,0.005591376713472762,65,0.25,225.0,MAC_base(m+h)+v,1.0,7.0,0.9,0.005,0.0,0.10176313896621536,0.1305771184459839,0.1698914441743194,0.21853436036342086,0.23368284218072782,0.22298792514318885,0.22829592054579687,nan,0.0,1.1102230246251565e-16,0.0,0.0,0.14479495369396098,0.18884664314177357,0.18254115668670554,0.1898690530385539,nan,1.4196,1.5194832353580237,1.6149957710831313,1.7012512833326807,2.032946052582619,2.4328423562756014,2.6099968886593565,2.699004864684471,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7588945192,2.090821628559998,2.49212582069646,2.6719620869940104,2.7627126025755597,nan,425.6,445.3018171965658,459.5650352121259,470.2331944856769,505.69571425350256,519.8972290801407,498.8318926893495,476.1951233082393,nan,425.6,447.78084386976184,465.5475315098372,481.5023071324044,513.822351699072,526.5843062872134,505.03548335714345,482.1190003606124,nan,0.0,0.0005609679107355805,0.0012154573539014245,0.001912033626396312,0.0056000832883792056,0.026338555946305676,0.03212054966012651,0.034595036759601586,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002605083858391802,0.006603649001126356,0.029215421084220556,0.03531824250031731,0.037959744290480366,nan,321.3948387392573,326.4990314739408,336.8896333662531,321.64368874908087,221.54784255989364,90.79264160648253,45.87577701012996,21.492948319743867,nan,291.7975320063002,270.55948702580315,250.86722124190288,330.74131091119733,227.91184519122297,93.55490184169784,48.40731133672947,23.053006535269716,nan
mac_p073_h0p3_v150,5,217,mac_shift_grid,mac_base_m_plus_h_plus_v,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.507417030416037,7.506153372154991,0.001263658261046352,73,0.3,150.0,MAC_base(m+h)+v,1.0,7.0,0.9,0.005,0.0,0.21299277728130295,0.23110446243028332,0.25176051120964854,0.2914420611745191,0.29537390156646526,0.28325326340821855,0.28911692308890574,nan,0.0,1.1102230246251565e-16,0.12937593133175235,0.18482307768500958,0.2628152976057321,0.2778520633277505,0.26765364894749255,0.27436170418025807,nan,1.4196,1.5071145867035618,1.5924030623915428,1.6734735575955761,1.9757232545128822,2.3512730037753613,2.517669274345364,2.5981699869115356,nan,1.4196,1.5307992167000002,1.6152657281861478,1.6961850619198007,1.9981914367880451,2.3744407855248886,2.541568172598336,2.622632600695513,nan,425.6,442.59217947278654,455.10748471616756,465.2671662455077,496.65033463810505,509.6220123379636,488.863834797604,466.15948896554437,nan,425.6,447.78084386976184,459.1657116274383,468.90547798344954,499.62472838994,512.1692267038472,491.2099800390056,468.4020689688639,nan,0.0,0.00048384771477112687,0.0010444664752800813,0.0016590959546423816,0.004795252031932007,0.023450200582596618,0.02848769027275251,0.030508242427402077,nan,0.0,0.0006332068992394159,0.0012250423212496696,0.0018695303682821182,0.005116782212181261,0.0243438204434269,0.029480838048564304,0.03155177245153738,nan,304.11990445986675,307.363945104843,311.43527010126604,302.77974328154636,201.1682991335211,76.65182549576957,39.98200625143231,18.332426887877805,nan,224.59105435095722,310.680750754497,314.6060722313854,305.87482499550583,203.09704203749544,77.53073818805171,40.776506681085536,18.798484600094703,nan
mac_p072_h0p3_v125,10,215,mac_shift_grid,mac_base_m_plus_h_plus_v,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.517564392262293,7.512043970406796,0.005520421855496949,72,0.3,125.0,MAC_base(m+h)+v,1.0,7.0,0.9,0.005,0.0,0.2518034793067514,0.26910044082494006,0.28371924173748386,0.3207450453875074,0.3215287112426908,0.30874175524414504,0.31481133848419923,nan,0.0,1.1102230246251565e-16,0.0,0.10702105395799177,0.24546100218355482,0.2753736396302038,0.26793610671547885,0.27613352200723307,nan,1.4196,1.5027988670387546,1.583863773106665,1.662630135486892,1.9527243294362973,2.3166905065496772,2.4786204328152013,2.5555713264571134,nan,1.4196,1.5307992167000002,1.6443419239000001,1.722582862153046,2.011812238590022,2.3777178149395737,2.541135442066767,2.6196951115626717,nan,425.6,441.6467215544877,453.40812241695045,463.3080839977158,492.99743151982625,505.2176628575256,484.6351397000135,461.9140153588634,nan,425.6,447.78084386976184,465.5475315098372,473.53235565645537,500.99206012371536,512.0067964820763,490.7887997594018,467.8180957110833,nan,0.0,0.0004578656528763189,0.0009818911684563775,0.0015624843415238867,0.004481330272213516,0.02214525200726985,0.026875985780595104,0.0287111602259795,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002153844233439079,0.005343550179665847,0.024607856484238657,0.029554651351788176,0.031518844721685646,nan,296.31435638126743,300.15270711784024,299.97896153793937,294.1586722276629,193.00729800823729,71.39570475883025,37.49008017851171,17.027418581221596,nan,197.6286351789332,183.24453187790255,309.28640527577966,303.18213285482454,198.1964804438978,73.80204459939601,39.490050084819906,18.31973600265352,nan
mac_p062_h0p25_v150,5,184,mac_shift_grid,mac_base_m_plus_h_plus_v,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.517517895416143,7.515910935507395,0.0016069599087478181,62,0.25,150.0,MAC_base(m+h)+v,1.0,7.0,0.9,0.005,0.0,0.246887668524981,0.26550065238863163,0.2840152071980298,0.3243210798294949,0.3273275447783204,0.3149117917698603,0.32139392647112885,nan,0.0,1.1102230246251565e-16,0.14843098452648779,0.20731212622593898,0.2919069851759025,0.30752360331392947,0.2973066432000345,0.3045994059658096,nan,1.4196,1.503345501347133,1.5846727964854739,1.6625297160282564,1.9499176204811695,2.309023154076438,2.4691678225909914,2.5446580822266984,nan,1.4196,1.5307992167000002,1.610983258871146,1.6885546510078406,1.9753583513277184,2.3352083857500006,2.496139236240861,2.5725016453315424,nan,425.6,441.7664744057872,453.56353965107303,463.2436709079257,492.4941624511995,504.1481036259819,483.5472052326052,460.76895700654643,nan,425.6,447.78084386976184,458.2257692742777,467.40259550786885,495.8458814974733,507.0205540995371,486.19026672990566,463.33201127486416,nan,0.0,0.000461155885355987,0.0009851498182097062,0.0015566655573364947,0.004422741798255236,0.021618477588634163,0.02620191384452598,0.02796106105654482,nan,0.0,0.0006332068992394159,0.0011904433720685958,0.0017934721771453548,0.004770101938844043,0.022606534775130662,0.02728973038529392,0.029107765708421565,nan,296.65757365309474,300.3101173815277,302.28371270500935,294.5267878172477,194.208918772587,72.92782129662973,37.10515971628445,16.545857612058253,nan,210.91027449022806,304.7115270657363,306.3423790753875,298.435929565471,196.53883361178015,73.89794697997976,37.867130866366196,17.016373121112306,nan
