sample_index,delay_year,task_id,run_type,tree_spec,scenario,decision_times,optimizer_arm,local_solver,local_start_index,start_source,removal_active_set_stage,initial_utility,final_utility,utility_gain_from_polish,success_scipy,success_diagnostics,guarded_start_kept,best_eval_retained,best_eval_source,best_eval_utility,nfev,ngev,nit,runtime_seconds,message,mitigation
mac_p055_h0p2_v250,15,165,mac_shift_grid,default,optimal,0|5|10|15|35|75|125|175|225,adjoint_lbfgsb,adjoint_lbfgsb,0,structured_ramp,,7.446630684816393,7.488269050430099,0.04163836561370626,True,True,False,False,value_and_gradient,7.488269050430099,266,266,179,16.20394206047058,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0709554446365|0.314902423522|0|0.521644594119|0.166032855723|0.292341019926|0|0.687835132561|0.37117032669|0.448319227668|0.458466370575|0|0|0.0445795554549|0|0.827525866267|0.562148964422|0.546861724592|0.570782564228|0.619712962875|0.123151364194|0.0974541872012|0.0829358644641|0.2140305362|0.201330272703|0.222399717507|0|0|0|0|0|0.924007426827|0.594778590093|0.64291963321|0.595768445632|0.633805139673|0.615049990278|0.000419591424629|0.142674720767|0.143705450103|0.0781433362355|0.0526690328959|0.131165009225|0.0771192204843|0.0494625154937|0.0286402101366|0.0480025519685|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0.856733279917|0.808697576983|0.738928595227|0.743276811383|0.728378544231|0.751031031812|0.64666839122|0.71229863901|0.817498777584|0.709290118374|0.657876087065|0.628207750929|0.563829798848|0.581066866295|0.62537708978|0.209577078073|0.192769650042|0.165566626518|0.140961827542|0|0|0.00661272611534|0|0|0|0.122115747041|0.133314470118|0.149772380658|0.0203986728805|0.0189497387492|0.0383095563138|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.988343877745|0.899804149929|0.875105057702|0.875527389576|1|0.979953245258|0.901912317482|0.908728668038|0.912009573625|0.919529304311|0.800996861138|0.816326901427|0.824352397411|0.68662091233|0.677285738097|0.642572707045|0.577625157332|0.54803729887|0.5549345682|0.868884525322|0.809574309459|0.812436274685|0.805916754548|0.606881296021|0.603064664267|0.628311476742|0.507944140103|0.473749573112|0.475179409198|0.610995173982|0.593015102858|0.628397219299|0.499964592744|0.468782708075|0.468215128539|0.407801755539|0.383378407128|0.366922928974|0.343431066287|0.290647473909|0.25032488237|0.254648123818|0.246039107124|0|0|0.0105926523375|0|0|0|0|0.0342959695803|0.0111261788083|0|0|0|0|0|0|0|0.0173365644729|0.0228264121799|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
mac_p055_h0p2_v250,15,165,mac_shift_grid,default,optimal,0|5|10|15|35|75|125|175|225,adjoint_lbfgsb,adjoint_lbfgsb,1,structured_sigmoid,,7.438567604249437,7.488269104321967,0.049701500072529825,False,True,False,False,value_and_gradient,7.488269104321967,317,317,196,19.08155870437622,ABNORMAL_TERMINATION_IN_LNSRCH,0.0709888608729|0.314904607169|0|0.521639254834|0.165724163235|0.292200824841|0|0.68783945206|0.371132230242|0.44830251652|0.458523615959|0|0|0.0445674329238|0|0.82749712616|0.56207200503|0.546826337844|0.570735296308|0.619693292725|0.12330808563|0.0967749438586|0.0824168150978|0.2139066104|0.201339227256|0.222388671974|0|0|0|0|0|0.923883161879|0.594939326887|0.642704663762|0.595895841927|0.633713940077|0.614798666919|0.000701658844547|0.142833469674|0.144053983484|0.0787057716486|0.0519615626425|0.131245910672|0.0783859396819|0.0496311942303|0.0290086792158|0.0488237961911|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0.857231241337|0.809658409965|0.738657224072|0.742824659389|0.728954382576|0.750406448984|0.645758043243|0.711430202519|0.817042227608|0.708244734133|0.657439980296|0.627777001305|0.563603952012|0.580937344207|0.623217650696|0.214681059062|0.196138922177|0.164703045612|0.139453391828|0|0|0.00438509730978|0|0|0|0.118369208919|0.13658182864|0.146567838701|0.0165640835687|0.0191638425591|0.038173533246|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.989032241857|0.89973450394|0.877870840586|0.88343803007|1|0.957632361336|0.896116890656|0.90774240101|0.911069197022|0.916346058333|0.80583434554|0.818906690332|0.826753879145|0.694599300152|0.684751373149|0.647642924582|0.58022031494|0.548700291966|0.556260952717|0.860787265031|0.810178766128|0.813394043364|0.807649471032|0.611671550527|0.607597069436|0.627850651038|0.509027808843|0.472958405369|0.47509111398|0.614869949955|0.596602582736|0.629105441566|0.500243342624|0.468199266435|0.468097136778|0.400526955553|0.375304039243|0.359326887637|0.334415803334|0.303331511611|0.249092841914|0.2539303319|0.244981478128|0|0|0|0|0|0|0|0.000480320894756|0|0|0|0|0|0|0|0|0.00639048708406|0.00262113626384|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
mac_p055_h0p2_v250,15,165,mac_shift_grid,default,optimal,0|5|10|15|35|75|125|175|225,adjoint_lbfgsb,adjoint_lbfgsb,2,structured_constant,,7.44541061996325,7.48826911557759,0.04285849561433963,True,True,False,False,value_and_gradient,7.48826911557759,363,363,243,22.093512773513794,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0710380150429|0.314823170405|0|0.521631341146|0.165872861285|0.292137211969|0|0.687749814946|0.371138501852|0.448221980041|0.458518861378|0|0|0.0444689951331|0|0.827522243111|0.562110685577|0.546783357197|0.570748527761|0.61967202151|0.123222029123|0.0975771800961|0.0826600907759|0.213913921224|0.20126961744|0.222344162898|0|0|0|0|0|0.923663194957|0.594847653266|0.642715936055|0.596075390684|0.633805032447|0.61477982221|0.000563575134763|0.142493016464|0.144064508779|0.0785954398011|0.0523576492948|0.131052001672|0.0777816064266|0.0494794613849|0.0286002182632|0.0485280432651|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0.857527266692|0.809307126636|0.739185230657|0.743495221904|0.728596248654|0.750954490205|0.64712720138|0.712572940687|0.817512744945|0.708183500624|0.658238688661|0.628430272906|0.564234465971|0.581252878134|0.623146110268|0.208973017642|0.190043810142|0.162599365075|0.138364757325|0|0|0.00583724891264|0|0|0|0.114613471095|0.133335610808|0.144744733397|0.0182171416877|0.0174495581524|0.0340394165399|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.987522219328|0.902602100673|0.877782737346|0.882930730802|1|0.957810371205|0.891130115167|0.901967096611|0.905104485913|0.911199701322|0.801066329646|0.813723990543|0.821408470308|0.693611985087|0.684207380506|0.646115737808|0.58269439102|0.551910968647|0.559241155708|0.858064188101|0.8059270958|0.808722866923|0.802484323354|0.608026848682|0.604245089013|0.629367649898|0.509005701977|0.474067673447|0.476053404665|0.611736759557|0.593933442917|0.630583787524|0.500551996402|0.47040688309|0.470664528647|0.404627081641|0.379412966895|0.362922072034|0.338359072044|0.266800473739|0.235513865841|0.239467469177|0.230909481812|0|0|0.00682549405756|0|0|0|0|0.0368600680392|0.0069633992456|0|0|0|0|0|0|0|0.027639727999|0.0180593611482|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
mac_p055_h0p2_v250,15,165,mac_shift_grid,default,optimal,0|5|10|15|35|75|125|175|225,adjoint_lbfgsb,adjoint_lbfgsb,3,sobol,,7.427779795962663,7.4882691448049075,0.06048934884224444,True,True,False,False,value_and_gradient,7.4882691448049075,492,492,318,29.489851474761963,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0709461520262|0.314832306595|0|0.521601505428|0.165853590642|0.292271601727|0|0.687739387494|0.371118030284|0.448267782035|0.458504448269|0|0|0.0444862714732|0|0.827491268397|0.562021472915|0.546732020059|0.570672446572|0.619678018016|0.123186156565|0.0972968842648|0.0827100258979|0.213901789279|0.201348856593|0.222433306403|0|0|0|0|0|0.923910854715|0.594598252082|0.642666154288|0.595903051386|0.633786458138|0.614748793122|0.00040143084802|0.142502110273|0.144009336622|0.0785488493579|0.0523991122991|0.131101520807|0.0776596280239|0.0495887932749|0.0286650120019|0.0482384410779|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0.856569239342|0.808528591515|0.738776475999|0.743234251459|0.728456066667|0.750849003387|0.646554666225|0.712330179759|0.81733835134|0.708117834658|0.657972720472|0.628420781979|0.564054590886|0.581149380853|0.623408575931|0.208010966988|0.188465004879|0.162626616371|0.137097072519|0|0|0.00585351293398|0|0|0|0.117999753671|0.134452096449|0.148358391157|0.0194610411664|0.0196601858887|0.0371525225862|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.987977451007|0.902200577522|0.878448501376|0.884385161869|1|0.95616550354|0.895416516275|0.906992326103|0.911510300708|0.916965088846|0.803949554096|0.815503610928|0.825158180389|0.692361046445|0.686094303756|0.645997156262|0.582242461494|0.550686881583|0.559873259059|0.859965976163|0.807191840865|0.810759409211|0.80592144502|0.607505047286|0.605173063592|0.630743087077|0.510402188589|0.475076322104|0.476032787995|0.611070971535|0.592963179975|0.632657183968|0.500076152983|0.470595301133|0.470805998594|0.403249825007|0.379627713976|0.361431328267|0.339074738398|0.234507515884|0.230847165641|0.245919060553|0.243323902302|0|0|0|0|0|0|0|0.0252421960186|0|0|0|0|0|0|0|0|0.0227399833762|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
mac_p055_h0p2_v250,15,165,mac_shift_grid,default,optimal,0|5|10|15|35|75|125|175|225,adjoint_lbfgsb,adjoint_lbfgsb,4,structured_ramp,,7.4463880859260145,7.488269132395982,0.04188104646996749,True,True,False,False,value_and_gradient,7.488269132395982,437,437,282,26.281047105789185,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0709825600178|0.314884539044|0|0.521612894199|0.165828686496|0.292224912634|0|0.687791055025|0.371073593839|0.448334853002|0.458462674235|0|0|0.0445267104644|0|0.827533339474|0.562057048212|0.546745747146|0.570706645426|0.619650162619|0.123051507507|0.0973146434823|0.0828781474213|0.213988871272|0.201357115347|0.22244210829|0|0|0|0|0|0.923897624373|0.594950184203|0.642714913846|0.596014434961|0.633869509182|0.614864146888|0.000569113551086|0.142727928866|0.14381702061|0.078091398266|0.0522955828181|0.131122097754|0.0773239291611|0.0498153808671|0.0289069334418|0.0481877718619|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0.857754407119|0.808651600983|0.738569547201|0.742898171091|0.727988844231|0.75041615783|0.64630548317|0.71213051372|0.817210737894|0.708332712632|0.657988464056|0.628113610931|0.56427362421|0.581424592101|0.623487967902|0.208676289247|0.189514965539|0.161913253631|0.137256308325|0|0|0.00594319641833|0|0|0|0.11464467426|0.134090412846|0.145347407779|0.0208617572467|0.0184460730359|0.0384963125565|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.987953170295|0.903111977701|0.8785598994|0.886400118074|1|0.965004888814|0.89759219464|0.908719697456|0.911809447882|0.918093977274|0.804852479859|0.818397548537|0.826211946932|0.695205595168|0.685750944787|0.648182263107|0.583399083365|0.552590153342|0.559877955036|0.863195296644|0.810574318393|0.813468789578|0.807126544093|0.609552388019|0.605755497123|0.631513508856|0.509883504363|0.474863165465|0.476792920621|0.613618246297|0.595194276326|0.632882848836|0.501030926194|0.471028261965|0.470707626364|0.405561176244|0.380432657783|0.363910019999|0.339616515091|0.28518609994|0.242706743493|0.247100530013|0.237941018799|0|0|0|0|0|0|0|0.0192940211321|0|0|0|0|0|0|0|0|0.00405356593649|0.00522955101925|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
mac_p055_h0p2_v250,15,165,mac_shift_grid,default,optimal,0|5|10|15|35|75|125|175|225,adjoint_lbfgsb,adjoint_lbfgsb,5,structured_ramp,,7.446221187125686,7.488269141966811,0.04204795484112456,True,True,False,False,value_and_gradient,7.488269141966811,429,429,236,25.5582435131073,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0709576347074|0.314827909083|0|0.521681046848|0.165830036979|0.292118075339|0|0.687779384446|0.371105879934|0.448207116212|0.458502697534|0|0|0.0446138788789|0|0.827511852114|0.562132185867|0.546860822593|0.570619647398|0.619675102056|0.123164729299|0.0974159581336|0.0828597741142|0.213981648065|0.201322682297|0.22250050993|0|0|0|0|0|0.923833136511|0.594609664211|0.642937824048|0.595832555044|0.634258522439|0.614513517843|0.000396954653006|0.142363684992|0.143988467749|0.0788908126262|0.0525477100035|0.131185911343|0.0773575325877|0.0494674456576|0.0283678287113|0.0484820932338|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0.857103949078|0.808982989281|0.739089400641|0.743425612927|0.728562228399|0.750995319977|0.646986311467|0.712573465735|0.81746498713|0.708113771476|0.658165014338|0.628291649336|0.564177136876|0.58120798149|0.623302801527|0.210810381921|0.190105411194|0.162827944929|0.139081482134|0|0|0.00548683631584|0|0|0|0.112697300414|0.134170077286|0.14465168845|0.0183464430631|0.0193641647525|0.0351149172688|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.987120623456|0.899582068669|0.874634553013|0.886945925747|1|0.956602750218|0.893370605345|0.906448974788|0.909526072005|0.915326893541|0.805153828064|0.817194443347|0.825170860544|0.698904371599|0.689156267659|0.649723170699|0.585703129112|0.554254903266|0.561580563266|0.858597478586|0.809132131918|0.811986753422|0.805623977299|0.610551023741|0.606609515894|0.631350876247|0.510500227985|0.474984168975|0.476890730234|0.614134388067|0.595921626832|0.632649750842|0.501838837509|0.470937642201|0.470975780398|0.403956339346|0.378455036893|0.36194037564|0.337118308595|0.273956017227|0.234503747596|0.238967955172|0.22954729005|0|0|0|0|0|0|0|0.0217158108809|0|0|0|0|0|0|0|0|0.0108081423301|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
mac_p055_h0p2_v250,15,165,mac_shift_grid,default,optimal,0|5|10|15|35|75|125|175|225,adjoint_lbfgsb,adjoint_lbfgsb,6,structured_ramp,,7.4461958662269545,7.488269086392117,0.042073220165162795,True,True,False,False,value_and_gradient,7.488269086392117,329,329,201,19.778491497039795,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0710507477157|0.314915097276|0|0.521643948699|0.16599681941|0.292318755462|0|0.68780038582|0.371154786214|0.448369542661|0.458580631417|0|0|0.0447829373117|0|0.827512974711|0.562173411784|0.546829327427|0.570741243715|0.619690303723|0.123259357328|0.0975022296687|0.0829698907296|0.214114454584|0.201491125903|0.22249632172|0|0|0|0|0|0.92391266124|0.594782409088|0.642338313767|0.596175886517|0.634095804344|0.614797863309|0.000576695936092|0.142679278563|0.144329323023|0.0790489446257|0.0523679199869|0.131397858954|0.0767510387|0.049450933234|0.0287374946984|0.0486738252104|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0.855770067078|0.808120018947|0.739007642466|0.743543249559|0.729074576398|0.751719868469|0.647099855919|0.713009259088|0.818175806034|0.707324017599|0.658573134313|0.629230023361|0.563985210411|0.580268791884|0.623076028683|0.212487302551|0.192110035742|0.16531297318|0.141976888554|0|0|0.00686317434435|0|0|0|0.115550249061|0.132768383031|0.142116654678|0.0213624498906|0.018801644032|0.0395234495767|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.985108642467|0.90198359943|0.875085675164|0.883940396551|1|0.966239024493|0.896337385367|0.907019098824|0.910096862843|0.916300552309|0.803083438397|0.816720822691|0.824662480191|0.694370055224|0.684798555664|0.647606929607|0.583383929234|0.55282877051|0.559930997302|0.861976072222|0.809031228412|0.811902609709|0.805574707435|0.609802605164|0.605907059448|0.631185020575|0.510786408015|0.475993303593|0.477519173865|0.613749297997|0.595763990306|0.633814977358|0.501925463136|0.472305992379|0.470650499226|0.407558284318|0.382639701971|0.36613312095|0.342194514164|0.295234146385|0.251072557489|0.255263180239|0.246266292102|0|0|0.00526664620812|0|0|0|0|0.0329709580717|0.00590429100162|0|0|0|0|0|0|0|0.0198679534129|0.0173766077953|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
mac_p055_h0p2_v250,15,165,mac_shift_grid,default,optimal,0|5|10|15|35|75|125|175|225,adjoint_lbfgsb,adjoint_lbfgsb,7,structured_ramp,,7.4460214406106555,7.488269139920768,0.04224769931011263,False,True,False,False,value_and_gradient,7.488269139920768,501,501,270,29.584534645080566,ABNORMAL_TERMINATION_IN_LNSRCH,0.0710143417893|0.314862893148|0|0.521609067686|0.165853049222|0.292153222493|0|0.687763201614|0.371098895766|0.448278214641|0.458509073368|0|0|0.0444965136757|0|0.827544958252|0.562023898336|0.546744695882|0.570676157968|0.619686273006|0.123221995847|0.0973122622434|0.0827352874671|0.213948839113|0.201330886717|0.222385421503|0|0|0|0|0|0.923931330318|0.59475060509|0.642532589215|0.596122423257|0.633928123227|0.615008689934|0.000127397291325|0.142445207848|0.14399631884|0.0787837121851|0.0525063523125|0.131220050134|0.0776135959612|0.0496394027661|0.0286384882914|0.0483847787224|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0.857073381852|0.809081628468|0.738694311515|0.742990152888|0.728042445041|0.750458535796|0.646067991321|0.712161984856|0.817461991857|0.708171333601|0.658464969688|0.628517583115|0.564678613793|0.581545455958|0.622934217954|0.206020311756|0.189243860695|0.160909633281|0.136640767583|0|0|0.00557090610118|0|0|0|0.118233883408|0.134291425326|0.149378822696|0.0191531068872|0.0151458584955|0.0370998772816|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.987472547394|0.902262601271|0.878124853649|0.882769160522|1|0.955526815621|0.894850903624|0.907818033985|0.911042867603|0.916972754446|0.805164841273|0.818016585188|0.825819893419|0.696172273909|0.686677007379|0.648757388579|0.583607820268|0.55249409948|0.559963556671|0.859697001298|0.810027032307|0.81293509253|0.806745961234|0.610101021965|0.606333159686|0.630665330756|0.509670193897|0.474205767742|0.476397328271|0.613646470991|0.595493931175|0.63098369064|0.501068117419|0.469443222708|0.470281801052|0.403627768988|0.378160581804|0.361631600793|0.33669320876|0.281352116261|0.239019145622|0.243391963904|0.234370390044|0|0|0|0|0|0|0|0.0202030778923|0|0|0|0|0|0|0|0|0.0168622897881|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
mac_p055_h0p2_v250,5,163,mac_shift_grid,default,optimal,0|5|10|15|35|75|125|175|225,adjoint_lbfgsb,adjoint_lbfgsb,0,structured_ramp,,7.446630684816393,7.488269050430099,0.04163836561370626,True,True,False,False,value_and_gradient,7.488269050430099,266,266,179,16.377567052841187,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0709554446365|0.314902423522|0|0.521644594119|0.166032855723|0.292341019926|0|0.687835132561|0.37117032669|0.448319227668|0.458466370575|0|0|0.0445795554549|0|0.827525866267|0.562148964422|0.546861724592|0.570782564228|0.619712962875|0.123151364194|0.0974541872012|0.0829358644641|0.2140305362|0.201330272703|0.222399717507|0|0|0|0|0|0.924007426827|0.594778590093|0.64291963321|0.595768445632|0.633805139673|0.615049990278|0.000419591424629|0.142674720767|0.143705450103|0.0781433362355|0.0526690328959|0.131165009225|0.0771192204843|0.0494625154937|0.0286402101366|0.0480025519685|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0.856733279917|0.808697576983|0.738928595227|0.743276811383|0.728378544231|0.751031031812|0.64666839122|0.71229863901|0.817498777584|0.709290118374|0.657876087065|0.628207750929|0.563829798848|0.581066866295|0.62537708978|0.209577078073|0.192769650042|0.165566626518|0.140961827542|0|0|0.00661272611534|0|0|0|0.122115747041|0.133314470118|0.149772380658|0.0203986728805|0.0189497387492|0.0383095563138|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.988343877745|0.899804149929|0.875105057702|0.875527389576|1|0.979953245258|0.901912317482|0.908728668038|0.912009573625|0.919529304311|0.800996861138|0.816326901427|0.824352397411|0.68662091233|0.677285738097|0.642572707045|0.577625157332|0.54803729887|0.5549345682|0.868884525322|0.809574309459|0.812436274685|0.805916754548|0.606881296021|0.603064664267|0.628311476742|0.507944140103|0.473749573112|0.475179409198|0.610995173982|0.593015102858|0.628397219299|0.499964592744|0.468782708075|0.468215128539|0.407801755539|0.383378407128|0.366922928974|0.343431066287|0.290647473909|0.25032488237|0.254648123818|0.246039107124|0|0|0.0105926523375|0|0|0|0|0.0342959695803|0.0111261788083|0|0|0|0|0|0|0|0.0173365644729|0.0228264121799|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
mac_p055_h0p2_v250,5,163,mac_shift_grid,default,optimal,0|5|10|15|35|75|125|175|225,adjoint_lbfgsb,adjoint_lbfgsb,1,structured_sigmoid,,7.438567604249437,7.488269104321967,0.049701500072529825,False,True,False,False,value_and_gradient,7.488269104321967,317,317,196,19.272406816482544,ABNORMAL_TERMINATION_IN_LNSRCH,0.0709888608729|0.314904607169|0|0.521639254834|0.165724163235|0.292200824841|0|0.68783945206|0.371132230242|0.44830251652|0.458523615959|0|0|0.0445674329238|0|0.82749712616|0.56207200503|0.546826337844|0.570735296308|0.619693292725|0.12330808563|0.0967749438586|0.0824168150978|0.2139066104|0.201339227256|0.222388671974|0|0|0|0|0|0.923883161879|0.594939326887|0.642704663762|0.595895841927|0.633713940077|0.614798666919|0.000701658844547|0.142833469674|0.144053983484|0.0787057716486|0.0519615626425|0.131245910672|0.0783859396819|0.0496311942303|0.0290086792158|0.0488237961911|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0.857231241337|0.809658409965|0.738657224072|0.742824659389|0.728954382576|0.750406448984|0.645758043243|0.711430202519|0.817042227608|0.708244734133|0.657439980296|0.627777001305|0.563603952012|0.580937344207|0.623217650696|0.214681059062|0.196138922177|0.164703045612|0.139453391828|0|0|0.00438509730978|0|0|0|0.118369208919|0.13658182864|0.146567838701|0.0165640835687|0.0191638425591|0.038173533246|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.989032241857|0.89973450394|0.877870840586|0.88343803007|1|0.957632361336|0.896116890656|0.90774240101|0.911069197022|0.916346058333|0.80583434554|0.818906690332|0.826753879145|0.694599300152|0.684751373149|0.647642924582|0.58022031494|0.548700291966|0.556260952717|0.860787265031|0.810178766128|0.813394043364|0.807649471032|0.611671550527|0.607597069436|0.627850651038|0.509027808843|0.472958405369|0.47509111398|0.614869949955|0.596602582736|0.629105441566|0.500243342624|0.468199266435|0.468097136778|0.400526955553|0.375304039243|0.359326887637|0.334415803334|0.303331511611|0.249092841914|0.2539303319|0.244981478128|0|0|0|0|0|0|0|0.000480320894756|0|0|0|0|0|0|0|0|0.00639048708406|0.00262113626384|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
