Node;Mitigation;Prices;Average Mitigation;GHG Level
0;0.8967116452325986;216.78948162902034;0.0;425.6
1;0.9905045847749776;223.03327149701363;0.89671171850638;425.35564263763496
2;0.7682189845826183;122.23398291674468;0.89671171850638;425.35564263763496
3;0.9979613056808384;107.48463384536188;0.9568330940952184;412.7400387073343
4;0.9057324527722935;84.24932278916756;0.9568330940952184;412.7400387073343
5;0.9582564372540567;103.46574789975524;0.8143476108599845;431.8397253903522
6;0.630228431641831;41.210021670813816;0.8143476108599845;431.8397253903522
7;0.9998700600861307;32.229583007894895;0.9732530986025665;392.7828613597601
8;0.9649133667760325;29.41025237885331;0.9732530986025665;392.7828613597601
9;0.9830048021889413;31.99007251725121;0.9394158249437585;399.4672666241897
10;0.9408818093176863;31.019022989695255;0.8653223456410102;410.5719898714797
11;0.7052416269999542;14.927940607705436;0.9394158249437585;399.4672666241897
12;0.6554000696442474;13.958198027081545;0.8653223456410102;410.5719898714797
13;0.77082453957079;22.21950593655628;0.7449743563770335;434.34624305249724
14;0.3554887734716303;5.648832202935869;0.7449743563770335;434.34624305249724
15;0.9947515489429339;7.032312851931199;0.9768823233011433;370.9118721173897
16;0.9861739179151767;6.876434371672531;0.9768823233011433;370.9118721173897
17;0.9760444752348048;6.752502676643024;0.9723825226470464;371.93410471127726
18;0.9996445247129919;7.5600025292880515;0.9447499998316773;376.4578704057413
19;0.9956450529379595;8.501029414578674;0.8758122121972658;387.3077614652501
20;0.8748695273542431;5.158525691337638;0.9723825226470464;371.93410471127726
21;0.9277264597205162;6.256257805920631;0.9447499998316773;376.4578704057413
22;0.973741121419706;8.027413908147864;0.8758122121972658;387.3077614652501
23;0.9838260263132385;7.750994073454772;0.9089952579343838;384.58045144234933
24;0.9455015413393204;7.9765557401069;0.8390638806510019;395.65605503879516
25;0.9755295323785399;10.229025078941772;0.7473590681695141;410.2519187284174
26;0.7131518153447489;3.6930948366031404;0.9089952579343838;384.58045144234933
27;0.6532997871663079;3.523457475900664;0.8390638806510019;395.65605503879516
28;0.7754202254247206;5.94966478383732;0.7473590681695141;410.2519187284174
29;0.7447666222517932;6.021347055711089;0.6938953994394179;422.3975115084959
30;0.36581009658448016;1.7197455518937186;0.6938953994394179;422.3975115084959
31;0.9861004244106305;1.5207224253171894;0.9782649245991042;351.9492695318524
32;0.9746174087363435;1.4756521799566154;0.9782649245991042;351.9492695318524
33;0.9846509249459039;1.5173874062958825;0.9776571116942538;352.09699009626775
34;0.9549883438600002;1.422385440999196;0.9726042182418999;353.059403187512
35;0.9517371883331095;1.5011132759263661;0.94883370843745;356.69074751002904
36;0.9831582430564677;1.929709796631164;0.884633395582508;366.6093449510515
37;0.7619472962070519;0.8296062581554648;0.9776571116942538;352.09699009626775
38;0.8656762783226672;1.120259878749596;0.9726042182418999;353.059403187512
39;0.5313366296189067;0.4446491369442202;0.94883370843745;356.69074751002904
40;0.9872663079108814;1.9505653928131668;0.884633395582508;366.6093449510515
41;0.85669443338552;1.1140457653491191;0.9654345236210423;354.8017980888056
42;0.9803161705477362;1.6400976266419325;0.943737292948848;357.92929194681113
43;0.9174118238721264;1.6286664891289804;0.8830812591832619;366.986565791145
44;0.8545574618896908;1.2702258351205125;0.9132667077462842;363.22429889375456
45;0.9540370912731733;1.9798731669406875;0.8456768358930462;373.90801418221247
46;0.8847444985227979;2.040746487895983;0.7636469207417536;386.6005474803943
47;0.5584032701847621;0.4649746450047393;0.9654345236210423;354.8017980888056
48;0.6860228291107682;0.7285776788422037;0.943737292948848;357.92929194681113
49;0.5058627922992567;0.48527797945547985;0.8830812591832619;366.986565791145
50;0.6003005127879435;0.6089576369328582;0.9132667077462842;363.22429889375456
51;0.9106753449978048;1.7645635005774276;0.8456768358930462;373.90801418221247
52;0.9716298051442012;2.571107146321306;0.7636469207417536;386.6005474803943
53;0.2665159189978005;0.17949293491920093;0.8940856041421875;367.8857429769629
54;0.9027833078152385;1.8240939941349323;0.8249702176163431;378.940197124104
55;0.8618813766912683;1.9909313514476894;0.749466364498304;390.0467507510894
56;0.8815616924610142;2.4166569888143523;0.6957873917360933;399.9368457571194
57;0.32910454994017474;0.24070132693143736;0.8940856041421875;367.8857429769629
58;0.5687766047368435;0.6950192417600246;0.8249702176163431;378.940197124104
59;0.12774022467301108;0.10535608422244826;0.749466364498304;390.0467507510894
60;1e-05;8.13243791380568e-06;0.6957873917360933;399.9368457571194
61;0.8981968937102214;2.7111955516072905;0.6689329493287859;406.4630851654159
62;0.6638551288160476;1.4020219359378598;0.6689329493287859;406.4630851654159
"
"
Period;Expected Price;Expected Mitigation;Expected Emission
0;216.78948162902034;0.0;4.344493707402065
1;172.63362720687917;0.89671171850638;5.291732703830776
2;84.10243155127463;0.8855903524776014;5.1031585471111365
3;22.675425958496724;0.8807414063910921;1.9660742028514022
4;6.439272740373061;0.8698925830214312;0.8529379242914217
5;1.299207584131664;0.8693799641256978;0.7905085303631999
