Year;Node;Utility;Consumption;Cost;CertainEquivalence
2025;0;24.39380183867653;0.9608697888395615;0.03913021116043849;0.5170415990729317
2035;1;26.287917217684864;1.1161256665270791;0.036597673169970917;0.5094955428844751
2035;2;27.258534458741476;1.1328142131929189;0.023111622586252555;0.505763900544934
2060;3;32.13024533145032;1.6417553476606166;0.017172127794038216;0.4897445184834994
2060;4;33.29629253228996;1.6493373541135379;0.016134954926582054;0.4862010139589365
2060;5;33.85328155830406;1.6459315059824333;0.017846688768491124;0.4845529738338987
2060;6;34.02811124837994;1.6688046327614094;0.0067266487720523006;0.4840684432874714
2100;7;43.318022113520854;2.8595335042108903;0.005087194438452542;0.46169633143696764
2100;8;44.70699769500222;2.959249848031839;0.005079207043217923;0.45878857654506244
2100;9;45.72130257080425;2.958702455080353;0.0050602282534267795;0.45669349199250664
2100;10;45.74552410398659;2.9536617015423055;0.00527843511723918;0.4566414125540283
2100;11;46.5744476774661;3.02339820027101;0.002424956589635426;0.4550089544527796
2100;12;46.5710717345163;3.0175917872861726;0.003802283493689134;0.4550126072642296
2100;13;46.6669765757414;3.0156073457747343;0.0033619835039152414;0.45482064167556824
2100;14;46.83911003600792;3.0443889999796365;0.000692355167108882;0.45449435060424065
2150;15;59.840316265287406;5.883606411688821;0.0011118308303170584;0.4333174759147916
2150;16;61.3516361475877;6.143407746961446;0.0009946149070965086;0.4311815093221178
2150;17;61.236033921623296;6.143350599873551;0.001000724693633784;0.4313471799593003
2150;18;64.08113347510813;6.140579475129484;0.0011064156351489587;0.4273743829131887
2150;19;64.02503414075773;6.125631873524098;0.0011909348152156576;0.42744726280386236
2150;20;64.23542753812615;6.336329230964835;0.0009359542204239562;0.4272084559045494
2150;21;64.17287989816484;6.335714277068448;0.0009115656159660337;0.4272931109005633
2150;22;64.02592060197453;6.328574661478017;0.001149868252418388;0.4274911630680183
2150;23;65.3114569760105;6.332547167865057;0.0009000622544933103;0.4257643124923017
2150;24;65.29495074863662;6.3272734601403195;0.0010892677492921796;0.4257850876442844
2150;25;65.24440996991378;6.315038776247405;0.0008746549810957618;0.4258495891724779
2150;26;65.3490745970408;6.400562344733981;0.0007555859815367459;0.42572909073594845
2150;27;65.26147025854371;6.401706363582158;0.0003655033743783524;0.4258456924239757
2150;28;65.59465200370379;6.3923214305839275;0.0011203072629333974;0.4254021381048246
2150;29;65.58247211807033;6.395525939526859;0.0002698916431817716;0.42541892143426585
2150;30;65.67280141454192;6.419823770741156;2.410971988641834e-05;0.4253048711944945
2200;31;76.52918021387944;12.086208305842128;0.0002159827530003153;0.41306844462142656
2200;32;79.90794401583844;12.611602867176126;0.0002395043704324354;0.409505370041729
2200;33;79.89186459551667;12.60919041470468;0.00023620163907287026;0.40952190403177363
2200;34;79.89119147205493;12.60934908707591;0.00022905902239670351;0.4095226210112918
2200;35;79.86494823476293;12.604675161034804;0.00023779440789676852;0.4095495448193598
2200;36;79.593511125369;12.561226286465645;0.00023132671481023145;0.4098291129230946
2200;37;83.77405505749839;13.21506206604652;0.00024535820532814624;0.4056441193115828
2200;38;83.77426110573332;13.215067665451674;0.00024679573201039876;0.4056439168678225
2200;39;83.76319467821115;13.213559844019871;0.00022356132125066764;0.40565468183976905
2200;40;83.66355734203954;13.1960914260264;0.00023744185809406696;0.4057513309876728
2200;41;83.76503346495066;13.215997225216357;0.00013551706224282145;0.4056530899654065
2200;42;83.75484186908166;13.211701004333076;0.00024388249927672793;0.4056627433205298
2200;43;83.66032353423068;13.196109300977659;0.000212690505727507;0.405754522881456
2200;44;83.68433698114698;13.201377281339493;0.0001616096681135765;0.40573131130075096
2200;45;83.625363012526;13.190180539240258;0.0002126694742635316;0.4057884873083637
2200;46;83.32552369139103;13.140335302019347;0.00027153107953127006;0.406080575534033
2200;47;85.29555605546322;13.453897648910798;6.520998927484116e-05;0.40418290964471953
2200;48;85.29259740954534;13.452262256322557;0.00013534642564544505;0.40418561739226194
2200;49;85.27493879815933;13.447786162993372;0.00014364201576534766;0.4042022467147039
2200;50;85.28229172027199;13.448635271819263;0.00019217766664561862;0.40419523241192407
2200;51;85.2681942272867;13.445080809187909;0.0002243294773687658;0.4042085114014853
2200;52;85.1736070023843;13.430615486882783;7.554401525191252e-05;0.4042985032472941
2200;53;85.27975670643464;13.450535315345522;2.518716824982798e-05;0.4041978439497811
2200;54;85.2544542255235;13.441818568068486;0.00024475048896964674;0.4042214739876464
2200;55;85.17747488747543;13.43178232552989;5.127575626970545e-05;0.40429487173469386
2200;56;85.10248092024446;13.418184018186173;0.0001248585389138757;0.4043661154671799
2200;57;85.62952904110685;13.50312934333726;9.1245807965708e-07;0.4038660768504089
2200;58;85.62794940952524;13.502035982794633;2.4999493247076683e-06;0.4038674963977429
2200;59;85.61267066579065;13.498493850217582;1.0896281230616056e-08;0.40388184564819674
2200;60;85.59467249674076;13.491363787184884;0.00024606531393152244;0.40389849301999775
2200;61;85.58262652447993;13.493219556437772;5.008114736497865e-07;0.40391021944117605
2200;62;85.82356396574379;13.528059946875926;9.001638267968868e-05;0.4036823598212618
