sample_index,mac_horizontal_shift,mac_vertical_shift,dwl_pct_loss,price,mitigation,mitigation_pct
mac_p001_h0_v0,0.0,0.0,5.000112125995484,204.07622088614696,0.6273845568117368,62.738455681173676
mac_p012_h0p05_v0,0.05,0.0,4.731254731959855,212.7201238946324,0.591251041163786,59.1251041163786
mac_p023_h0p1_v0,0.1,0.0,4.435019586135565,223.09107766134755,0.55732638554954,55.73263855495399
mac_p034_h0p15_v0,0.15,0.0,4.124035420100005,231.77232545728697,0.5203414861513094,52.03414861513094
mac_p045_h0p2_v0,0.2,0.0,3.808279401177983,242.0162939922943,0.4852159708204522,48.52159708204522
mac_p056_h0p25_v0,0.25,0.0,3.460616851041448,251.37692737854832,0.4483780220547455,44.837802205474546
mac_p067_h0p3_v0,0.3,0.0,3.098477873628393,260.56451085908884,0.4109216114305667,41.09216114305667
mac_p078_h0p35_v0,0.35,0.0,2.7177759223929874,269.94134646999294,0.3733620886450107,37.33620886450107
mac_p089_h0p4_v0,0.4,0.0,2.3460118628372837,278.63505318901025,0.3345875638538265,33.45875638538265
mac_p100_h0p45_v0,0.45,0.0,1.9822422384891143,288.26541411463677,0.296694182661549,29.6694182661549
mac_p111_h0p5_v0,0.5,0.0,1.5990168278194847,296.59701882473405,0.2569036106242326,25.69036106242326
mac_p002_h0_v25,0.0,25.0,4.45345716372988,212.6810998393166,0.5963863316446364,59.63863316446364
mac_p013_h0p05_v25,0.05,25.0,4.194427372134645,222.51051598111377,0.5632576283691346,56.32576283691346
mac_p024_h0p1_v25,0.1,25.0,3.920116148259034,231.1576099553868,0.5275784308730277,52.75784308730277
mac_p035_h0p15_v25,0.15,25.0,3.6389495030982175,240.1524072016248,0.4919923062498733,49.19923062498733
mac_p046_h0p2_v25,0.2,25.0,3.3330838862316767,250.17463124437631,0.4575106908039159,45.75106908039159
mac_p057_h0p25_v25,0.25,25.0,3.013608985238905,258.7617360213723,0.4203813525001358,42.03813525001358
mac_p068_h0p3_v25,0.3,25.0,2.6693112426445,268.21605198504955,0.3841258798025271,38.41258798025271
mac_p079_h0p35_v25,0.35,25.0,2.318743029814479,276.4856181988499,0.3458028343758934,34.58028343758934
mac_p090_h0p4_v25,0.4,25.0,1.9915584702668176,284.9428904426073,0.3074299963966523,30.742999639665232
mac_p101_h0p45_v25,0.45,25.0,1.638365648273505,294.50357885206955,0.2702113380318655,27.021133803186547
mac_p112_h0p5_v25,0.5,25.0,1.3042454946424311,301.75428739606457,0.2296607689375915,22.966076893759148
mac_p003_h0_v50,0.0,50.0,3.9206748335323143,222.55382112832177,0.5654037036593507,56.54037036593507
mac_p014_h0p05_v50,0.05,50.0,3.678972192765427,231.2003574407057,0.5313543347992181,53.135433479921815
mac_p025_h0p1_v50,0.1,50.0,3.4282159740935008,239.6114295484682,0.4963301701352606,49.63301701352606
mac_p036_h0p15_v50,0.15,50.0,3.1629056046688224,249.16927870940293,0.4627460826301152,46.274608263011515
mac_p047_h0p2_v50,0.2,50.0,2.8860908845647293,257.50736092819193,0.4265791008835535,42.65791008835535
mac_p058_h0p25_v50,0.25,50.0,2.584461368848521,267.0421584134094,0.3918777464565711,39.18777464565711
mac_p069_h0p3_v50,0.3,50.0,2.257682729197313,275.08488762062916,0.3543777713127837,35.43777713127837
mac_p080_h0p35_v50,0.35,50.0,1.9561892974326245,283.19948328909004,0.3166365445327673,31.66365445327673
mac_p091_h0p4_v50,0.4,50.0,1.6418381689852286,292.39771012064637,0.280128027315556,28.012802731555603
mac_p102_h0p45_v50,0.45,50.0,1.3293690832556515,299.50703892537757,0.2402769670845537,24.02769670845537
mac_p113_h0p5_v50,0.5,50.0,1.0407563883505984,307.7606940360518,0.2017706536891804,20.17706536891804
mac_p004_h0_v75,0.0,75.0,3.403653922145496,231.80818227125147,0.5307945019680627,53.07945019680626
mac_p015_h0p05_v75,0.05,75.0,3.185895332169554,239.78949170466583,0.4967342139078622,49.673421390786224
mac_p026_h0p1_v75,0.1,75.0,2.9555032715388165,248.4699966877461,0.4634334801793953,46.343348017939526
mac_p037_h0p15_v75,0.15,75.0,2.718007316350371,257.4047341552761,0.4299790396053836,42.99790396053836
mac_p048_h0p2_v75,0.2,75.0,2.453636664398265,266.0901682255024,0.395482777419592,39.5482777419592
mac_p059_h0p25_v75,0.25,75.0,2.1680989439787375,274.4143718063196,0.3598416934189652,35.98416934189652
mac_p070_h0p3_v75,0.3,75.0,1.883895226143388,282.07178310187857,0.3226455296033636,32.26455296033636
mac_p081_h0p35_v75,0.35,75.0,1.6042624356474422,290.34139690012506,0.2860634595069569,28.60634595069569
