delay_year,partial_mitigation_pct,dwl_phi,dwl_pct,dwl_billions,dwl_phi_loss,dwl_pct_loss,dwl_billions_loss,utility_loss_raw,utility_loss_loss,share_of_loss_avoided,share_of_dwl_avoided,welfare_loss,reentry_price_increase,m_partial_period0,residual_emissions_delay_window_gtco2,dwl_trillions_loss,share_of_dwl_avoided_pct,share_of_loss_avoided_pct,marginal_dwl_avoided_pp
5,0,0.1398709817795853,13.987098177958533,8373.664021868572,0.1398709817795853,13.987098177958533,8373.664021868572,0.0592661102609106,0.0592661102609106,0.0,0.0,0.0592661102609106,15.312902876289256,0.0,213.84455680847168,8.37366402186857,0.0,0.0,0.9701325134691174
5,5,0.1301696566448941,13.016965664489415,7792.3754672351715,0.1301696566448941,13.016965664489415,7792.3754672351715,0.0554530259355416,0.0554530259355416,0.0643383597908221,0.0693590980149044,0.0554530259355416,14.866170139822458,0.05,203.152437210083,7.792375467235171,6.935909801490441,6.43383597908221,1.1602912040659668
5,10,0.1185667446042344,11.856674460423449,7096.349631996944,0.1185667446042344,11.856674460423449,7096.349631996944,0.0508368966581009,0.0508368966581009,0.1422265366446573,0.1523134885041628,0.0508368966581009,11.695872164365936,0.1,192.46031761169434,7.096349631996944,15.231348850416278,14.222653664465728,1.082480505390949
5,15,0.107741939550325,10.7741939550325,6446.160386180373,0.107741939550325,10.7741939550325,6446.160386180373,0.0464791829403949,0.0464791829403949,0.2157544550202986,0.2297048452829955,0.0464791829403949,13.074176007187106,0.15,181.76795959472656,6.446160386180373,22.97048452829955,21.57544550202986,1.091063386116259
5,20,0.0968313056891624,9.68313056891624,5790.285194697067,0.0968313056891624,9.68313056891624,5790.285194697067,0.0420326307855738,0.0420326307855738,0.290781348724741,0.3077098304653833,0.0420326307855738,9.733715457597867,0.2,171.0758399963379,5.790285194697066,30.77098304653833,29.0781348724741,1.1649373443797693
5,25,0.0851819322453647,8.518193224536471,5089.949254487869,0.0851819322453647,8.518193224536471,5089.949254487869,0.037225083785767,0.037225083785767,0.3718993262441407,0.3909963942370974,0.037225083785767,9.8842144970682,0.25,160.38348197937012,5.08994925448787,39.09963942370974,37.18993262441407,0.8560215570973897
5,30,0.0766217166743908,7.662171667439082,4574.068059842932,0.0766217166743908,7.662171667439082,4574.068059842932,0.0336564676905339,0.0336564676905339,0.4321127615366336,0.4521971913006617,0.0336564676905339,13.910867448609764,0.3,149.69136238098145,4.574068059842932,45.219719130066174,43.211276153663356,1.1034105449463594
5,35,0.0655876112249272,6.558761122492722,3910.640520498341,0.0655876112249272,6.558761122492722,3910.640520498341,0.0289987883789315,0.0289987883789315,0.5107020141651195,0.5310849299085998,0.0289987883789315,6.303171015913222,0.35,138.99900436401367,3.910640520498341,53.10849299085998,51.07020141651195,0.9106259163897255
5,40,0.0564813520610299,5.648135206102997,3362.6601729103763,0.0564813520610299,5.648135206102997,3362.6601729103763,0.0251132566929186,0.0251132566929186,0.5762627818434335,0.596189636031613,0.0251132566929186,8.708461644326064,0.4,128.306884765625,3.362660172910376,59.618963603161305,57.62627818434335,0.66170475683254
5,45,0.0498643044927045,4.986430449270457,2963.32966644028,0.0498643044927045,4.986430449270457,2963.32966644028,0.0222655280393979,0.0222655280393979,0.6243126477952224,0.6434978588247642,0.0222655280393979,0.5278789053793105,0.45,117.61452674865723,2.96332966644028,64.34978588247643,62.431264779522245,0.9573618859415776
5,50,0.0402906856332887,4.029068563328879,2389.183477652186,0.0402906856332887,4.029068563328879,2389.183477652186,0.0180996816849976,0.0180996816849976,0.6946031786915603,0.7119439277492127,0.0180996816849976,10.888196143690068,0.5,106.92240715026901,2.389183477652186,71.19439277492127,69.46031786915603,0.7664391476945012
5,55,0.0326262941563437,3.262629415634378,1929.6960535392743,0.0326262941563437,3.262629415634378,1929.6960535392743,0.0147308652255802,0.0147308652255802,0.7514453848796612,0.7667400790268443,0.0147308652255802,11.826402528697912,0.55,96.23004913330078,1.9296960535392744,76.67400790268442,75.14453848796612,0.48750506015620143
5,60,0.0277512435547817,2.7751243554781766,1636.3570048942229,0.0277512435547817,2.7751243554781766,1636.3570048942229,0.0125746639193664,0.0125746639193664,0.787827075810978,0.8015939889625329,0.0125746639193664,12.435933238867475,0.6,85.53792953491211,1.6363570048942229,80.1593988962533,78.7827075810978,0.7637117476867918
5,65,0.0201141260779138,2.0114126077913848,1181.7959359805272,0.0201141260779138,2.0114126077913848,1181.7959359805272,0.0091624288794243,0.0091624288794243,0.8454018858486239,0.8561951462554932,0.0091624288794243,9.264570356588194,0.65,74.84557151794434,1.1817959359805272,85.61951462554931,84.54018858486239,0.5908436585930195
5,70,0.0142056894919836,1.4205689491983653,831.1700585412659,0.0142056894919836,1.4205689491983653,831.1700585412659,0.0064993942980748,0.0064993942980748,0.8903353996160345,0.8984371932530681,0.0064993942980748,3.578168487461255,0.7,64.15345191955566,0.8311700585412659,89.84371932530681,89.03353996160345,0.4177100526187285
5,75,0.0100285889657963,1.0028588965796368,583.9275557684607,0.0100285889657963,1.0028588965796368,583.9275557684607,0.0046043519009444,0.0046043519009444,0.9223105434003616,0.9283011469698564,0.0046043519009444,7.266015662436246,0.75,53.46109390258789,0.5839275557684607,92.83011469698565,92.23105434003615,0.5043479845891549
5,80,0.0049851091199048,0.4985109119904819,288.63582255808575,0.0049851091199048,0.4985109119904819,288.63582255808575,0.0022983963982703,0.0022983963982703,0.9612190442707992,0.9643592326551296,0.0022983963982703,0.2953098689849014,0.8,42.76897430419922,0.28863582255808573,96.43592326551295,96.12190442707991,0.23271237225882763
5,85,0.0026579853973165,0.2657985397316543,152.8983556041577,0.0026579853973165,0.2657985397316543,152.8983556041577,0.0012287922793525,0.0012287922793525,0.979266527296242,0.9809968775259968,0.0012287922793525,3.1841272201324955,0.85,32.07661628723099,0.1528983556041577,98.09968775259968,97.9266527296242,0.2657985397316543
5,90,-0.0004039099797226,-0.0403909979722667,-23.060771584488297,0.0,0.0,0.0,-0.0001873628662494,0.0,1.0,1.0,-0.0001873628662494,0.2315757601989219,0.9,21.384496688842773,0.0,100.0,100.0,0.0
5,95,0.0004775000411798,0.0477500041179865,27.02735602911964,0.0004775000411798,0.0477500041179865,27.02735602911964,0.0002217758004157,0.0002217758004157,0.9962579659869804,0.9965861393470996,0.0002217758004157,2.803767874814781,0.95,10.692138671875,0.02702735602911964,99.65861393470996,99.62579659869803,0.0477500041179865
5,100,-0.0010985170275481,-0.1098517027548116,-62.12377131913061,0.0,0.0,0.0,-0.0005107572710016,0.0,1.0,1.0,-0.0005107572710016,-2.3549578232164663,0.9546711529908688,9.693403244018555,0.0,100.0,100.0,
10,0,0.2586179871939592,25.861798719395917,15482.697749178144,0.2586179871939592,25.861798719395917,15482.697749178144,0.1030461507516911,0.1030461507516911,0.0,0.0,0.1030461507516911,21.781694747336445,0.0,432.19615936279297,15.482697749178143,0.0,0.0,2.299287486855679
10,5,0.2356251123254024,23.56251123254024,14105.279157014787,0.2356251123254024,23.56251123254024,14105.279157014787,0.0949813907831824,0.0949813907831824,0.0782635732599292,0.0889067118572557,0.0949813907831824,18.543636231593723,0.05,410.58637619018555,14.105279157014788,8.89067118572557,7.82635732599292,2.5452220821256972
10,10,0.2101728915041454,21.01728915041454,12579.077938418071,0.2101728915041454,21.01728915041454,12579.077938418071,0.0858384798123488,0.0858384798123488,0.1669899439602299,0.1873229941020333,0.0858384798123488,18.86674728422267,0.1,388.976354598999,12.579077938418072,18.73229941020333,16.69899439602299,2.1945537275963396
10,15,0.188227354228182,18.8227354228182,11261.572972282616,0.188227354228182,18.8227354228182,11261.572972282616,0.0777664627920167,0.0777664627920167,0.2453239424788463,0.2721799582833554,0.0777664627920167,15.897793286659097,0.15,367.3665714263916,11.261572972282616,27.21799582833554,24.532394247884632,2.1492669889429514
10,20,0.1667346843387525,16.67346843387525,9970.343447276491,0.1667346843387525,16.67346843387525,9970.343447276491,0.0696821752893228,0.0696821752893228,0.3237770185396349,0.35528581693854,0.0696821752893228,16.627895669754764,0.2,345.7567882537842,9.970343447276491,35.528581693854,32.377701853963494,1.8822163548763147
