parameter,baseline,prior_lower,prior_upper,prior_std,sample_mean,sample_mean_minus_baseline,sample_std,sample_min,sample_max,n
RA,10.0,3.0,15.0,3.0,9.712592430346573,-0.2874075696534266,2.5506772171324563,3.018967447888743,14.981931816152311,3000
EIS,0.833,0.55,1.86,0.3275,0.9422973016012514,0.1092973016012514,0.247363718422226,0.5500511658901415,1.790519713414723,3000
tech_chg,1.5,0.0,3.0,0.75,1.494846984104109,-0.005153015895891011,0.6560206000996848,0.002094675852667649,2.997769238270138,3000
tech_scale,1.5,0.0,3.0,0.75,1.4970728876835995,-0.0029271123164005264,0.6653810661955488,0.0021911446102147454,2.991731692110263,3000
PRTP,0.002,0.001,0.024,0.00575,0.005912579489536718,0.003912579489536718,0.0036693433259233233,0.0010004656521651258,0.02200924344203118,3000
bs_premium,10000.0,5000.0,20000.0,3750.0,10609.545828074844,609.5458280748444,3148.0870944392404,5003.7758190677305,19934.28890681392,3000
growth,0.015,0.01,0.025,0.0037500000000000003,0.015562341501644273,0.0005623415016442739,0.0031520151751094514,0.010000907798171263,0.024837446696911313,3000
