delay_year,gt_10,gt_25,gt_50,gt_100,gt_250
5,31.5531602155806,15.433610975012249,8.329250367466928,3.7236648701616852,1.3718765311121999
10,44.00977995110024,24.547677261613693,14.767726161369193,8.753056234718827,3.4718826405867973
15,51.49290259422418,32.109642682329905,19.970631424375917,11.796377875673029,5.531081742535487
