frontier_spec,frontier_label,delay_year,mv_dwl_pct,mv_dwl_trillions,mv_utility_loss_pct,mv_extra_emissions_gtco2,mv_reentry_price_increase
baseline,Baseline 5-year frontier,0,0.0,0.0,0.0,0.0,0.0
baseline,Baseline 5-year frontier,1,0.5795133055514082,0.3471183598181528,0.018155144876602802,28.377056121826097,2.0645523940133894
baseline,Baseline 5-year frontier,2,1.082843128172741,0.6482663114495357,0.029487467059124396,33.1575870513916,3.2493277794057747
baseline,Baseline 5-year frontier,3,0.7934590210238415,0.4750205634249822,0.02747091041863331,34.0609550476075,0.579335967653293
baseline,Baseline 5-year frontier,4,0.3425722536360576,0.20508792593471092,0.028084893157367688,34.8947048187255,1.4318587480321412
baseline,Baseline 5-year frontier,5,0.913831242074536,0.547083869467474,0.03099824377055921,34.82151031494149,-1.51449358721689
baseline,Baseline 5-year frontier,6,0.7995978621245863,0.47869570691845365,0.027480142517088607,31.52108192443842,3.605506832093454
baseline,Baseline 5-year frontier,7,0.8680266759808655,0.5196620238311653,0.029303530923305898,32.852888107299805,-0.43319874611921705
baseline,Baseline 5-year frontier,8,0.8710703841033887,0.5214842023040971,0.02887374160574588,35.76517105102539,4.7645055813418935
baseline,Baseline 5-year frontier,9,0.8745514721341374,0.5235682272554603,0.02846916671790342,30.12871742248541,2.3412956371014673
baseline,Baseline 5-year frontier,10,1.0113779678218,0.6054822232538317,0.03230111637915667,32.5403213500976,-6.687128843641119
baseline,Baseline 5-year frontier,11,0.8673890927585841,0.5192803215208324,0.027191007326615724,32.40656852722168,8.282418342463048
baseline,Baseline 5-year frontier,12,0.9685713372542946,0.5798551533841598,0.029820978381237706,32.87959098815924,-0.045434989203499754
baseline,Baseline 5-year frontier,13,1.0538150471868768,0.6308880536949522,0.03182059857093822,34.3317985534668,-2.1934405565150445
baseline,Baseline 5-year frontier,14,0.9381555708648097,0.5616461292196924,0.02780894281314439,36.56911849975586,2.6008415296854253
baseline,Baseline 5-year frontier,15,1.0505290553791173,0.6289208271103757,0.03056502065496758,29.99353408813471,-2.3696813183006213
baseline,Baseline 5-year frontier,16,1.090566021417656,0.6528897803411455,0.031121197715846705,34.84749794006353,4.156669029312667
baseline,Baseline 5-year frontier,17,1.0261617758168295,0.6143328539950428,0.02873764918220223,31.488418579101562,4.337839855075572
baseline,Baseline 5-year frontier,18,1.1710149524392754,0.7010521876341098,0.03216564596115057,33.48660469055176,-2.5985204206620836
baseline,Baseline 5-year frontier,19,1.1376906065158003,0.6811018825056685,0.030646713837850448,41.00227355957031,5.144630198428615
baseline,Baseline 5-year frontier,20,1.1373932800528515,0.6809238819029861,0.030047008015615218,28.38611602783203,-1.9746545143474634
high_ra,High RA (15),0,0.0,0.0,0.0,0.0,0.0
high_ra,High RA (15),1,0.6252514262480003,0.37508041444408696,0.0194255457347219,31.146764755249,7.203266876740912
high_ra,High RA (15),2,1.2572714743625433,0.7526914286754423,0.0342688788771903,32.6211452484131,6.349601454579187
high_ra,High RA (15),3,0.9217110355199232,0.5518012698913433,0.03165725410839549,35.26234626770021,-3.375511477845265
high_ra,High RA (15),4,0.4173125125799326,0.24983271926787753,0.03295637271245641,34.11674499511719,8.825165863919267
high_ra,High RA (15),5,1.0179977360431476,0.6094452836601403,0.033869950941339086,36.9768142700195,-1.8747932305761879
high_ra,High RA (15),6,0.9966709628377242,0.5966775722148716,0.0337552204727736,32.605886459350614,6.087993205729418
high_ra,High RA (15),7,1.0013164167700461,0.5994586687628072,0.033205731233016206,37.37974166870109,-5.483229951642272
high_ra,High RA (15),8,1.0248289718069463,0.6135349434603654,0.03328140143818309,30.525922775268583,5.491154181038667
high_ra,High RA (15),9,1.1189574109542013,0.6698868696636229,0.03555869188117783,37.903785705566406,1.982768545700111
high_ra,High RA (15),10,1.2191384682268414,0.7298623202026491,0.03785881255147949,37.151813507080135,0.28943052723667506
high_ra,High RA (15),11,0.9750184891054641,0.5837148734499502,0.02964221725210847,30.61985969543457,1.5076957529271908
high_ra,High RA (15),12,1.1937273795507828,0.7146494492914739,0.035552737178400295,35.952091217041016,1.2291581930856559
high_ra,High RA (15),13,1.2736100114758262,0.7624728299821868,0.037073196706325806,35.98380088806147,2.084414439996685
