delay_year,tree_spec,dwl_phi_mean,dwl_phi_std,dwl_phi_count,dwl_pct_mean,dwl_pct_std,dwl_pct_count,dwl_billions_mean,dwl_billions_std,dwl_billions_count,dwl_phi_loss_mean,dwl_phi_loss_std,dwl_phi_loss_count,dwl_pct_loss_mean,dwl_pct_loss_std,dwl_pct_loss_count,dwl_billions_loss_mean,dwl_billions_loss_std,dwl_billions_loss_count,deadweight_per_ton_mean,deadweight_per_ton_std,deadweight_per_ton_count,carbon_price_optimal_mean,carbon_price_optimal_std,carbon_price_optimal_count,carbon_price_delayed_mean,carbon_price_delayed_std,carbon_price_delayed_count,m_optimal_period0_mean,m_optimal_period0_std,m_optimal_period0_count,m_delayed_period0_mean,m_delayed_period0_std,m_delayed_period0_count,mitigation_foregone_mean,mitigation_foregone_std,mitigation_foregone_count,utility_loss_mean,utility_loss_std,utility_loss_count,welfare_loss_mean,welfare_loss_std,welfare_loss_count,extra_cumulative_emissions_mean,extra_cumulative_emissions_std,extra_cumulative_emissions_count,reentry_price_increase_mean,reentry_price_increase_std,reentry_price_increase_count,reentry_price_pct_increase_mean,reentry_price_pct_increase_std,reentry_price_pct_increase_count,reentry_price_annualized_increase_mean,reentry_price_annualized_increase_std,reentry_price_annualized_increase_count,peak_catchup_mitigation_mean,peak_catchup_mitigation_std,peak_catchup_mitigation_count,ppm_at_reentry_mean,ppm_at_reentry_std,ppm_at_reentry_count,temperature_at_reentry_mean,temperature_at_reentry_std,temperature_at_reentry_count,tree_label,tree_short_label,robustness_family,tech_chg,tech_scale,dam_func,tip_on,d_unc,t_unc,ra,eis,pref
5,back_loaded_decisions,0.1307749686907296,,1,13.077496869072965,,1,7829.112488909265,,1,0.1307749686907296,,1,13.077496869072965,,1,7829.112488909265,,1,198.2417480685182,,1,242.61811469704352,,1,0.0,,1,0.9389221871340888,,1,0.0,,1,0.9389221871340888,,1,0.0556878031881922,,1,0.0556878031881922,,1,0.2007834911346435,,1,11.79043188651616,,1,7.112873461313561,,1,1.383746046973644,,1,0.7634513671087281,,1,447.7808445891872,,1,1.5307991695404053,,1,back_loaded_decisions,back_loaded_decisions,tree,,,,,,,,,
5,default,0.1433742483614789,,1,14.337424836147896,,1,8583.39428158781,,1,0.1433742483614789,,1,14.337424836147896,,1,8583.39428158781,,1,221.14974981352808,,1,232.4180088418454,,1,0.0,,1,0.922751579708451,,1,0.0,,1,0.922751579708451,,1,0.0606404746321231,,1,0.0606404746321231,,1,0.1973254680633545,,1,12.441361151744816,,1,6.986242907098799,,1,1.3597632055219355,,1,0.7722169761384559,,1,447.7808445891872,,1,1.5307991695404053,,1,"Baseline tree (2025, 2030, 2060, ...)",Baseline tree,tree,,,,,,,,,
5,front_loaded_decisions,0.1436420551551051,,1,14.36420551551051,,1,8599.42708613431,,1,0.1436420551551051,,1,14.36420551551051,,1,8599.42708613431,,1,215.46828719264144,,1,249.07722252516984,,1,0.0,,1,0.948851713938723,,1,0.0,,1,0.948851713938723,,1,0.0608519650496717,,1,0.0608519650496717,,1,0.202906847000122,,1,19.312133899175393,,1,11.151390181193024,,1,2.136972317844532,,1,0.7620759604324833,,1,447.7808445891872,,1,1.5307991695404053,,1,Front-loaded decisions,Front-loaded,tree,,,,,,,,,
5,higher_fragility_weight,0.4909899118968427,,1,49.09899118968427,,1,29394.12098236293,,1,0.4909899118968427,,1,49.09899118968427,,1,29394.12098236293,,1,700.7488071161054,,1,282.8325618415684,,1,0.0,,1,0.9972643574390616,,1,0.0,,1,0.9972643574390616,,1,0.1687402621990372,,1,0.1687402621990372,,1,0.4932843083107583,,1,5.771211879351313,,1,0.9576473856830447,,1,0.1907999938567606,,1,2.055347519787815,,1,1035.7489684548618,,1,3.540847447857354,,1,Higher fragility weight,Higher fragility,tree,,,,,,,,,
5,lower_fragility_weight,0.0442752258693164,,1,4.42752258693164,,1,2650.627465432656,,1,0.0442752258693164,,1,4.42752258693164,,1,2650.627465432656,,1,88.90815404054725,,1,128.47419820469472,,1,0.0,,1,0.70879278443942,,1,0.0,,1,0.70879278443942,,1,0.0202015988477697,,1,0.0202015988477697,,1,0.0413009912478934,,1,0.7926828199640674,,1,3.346682608266368,,1,0.6605521057123642,,1,0.1330092040933693,,1,122.01364538891666,,1,0.4171200918728656,,1,lower_fragility_weight,lower_fragility_weight,tree,,,,,,,,,
10,back_loaded_decisions,0.2438624090007516,,1,24.38624090007517,,1,14599.324710208286,,1,0.2438624090007516,,1,24.38624090007517,,1,14599.324710208286,,1,390.6895551423578,,1,212.00534766523865,,1,0.0,,1,0.8884094193960392,,1,0.0,,1,0.8884094193960392,,1,0.0979112809618349,,1,0.0979112809618349,,1,0.3839671611785888,,1,19.66322706036601,,1,12.101694164214544,,1,1.1489124480428714,,1,0.7263011331778341,,1,465.5475328261715,,1,1.6443420028686524,,1,back_loaded_decisions,back_loaded_decisions,tree,,,,,,,,,
10,default,0.2584854606559704,,1,25.848546065597045,,1,15474.763775390447,,1,0.2584854606559704,,1,25.848546065597045,,1,15474.763775390447,,1,410.42222393968115,,1,216.6123963957686,,1,0.0,,1,0.8964072205461867,,1,0.0,,1,0.8964072205461867,,1,0.102998707274601,,1,0.102998707274601,,1,0.3874237537384033,,1,21.03726845319838,,1,12.26576665710988,,1,1.1637069024335256,,1,0.7248496988164417,,1,465.5475328261715,,1,1.6443420028686524,,1,"Baseline tree (2025, 2030, 2060, ...)",Baseline tree,tree,,,,,,,,,
10,front_loaded_decisions,0.2512804675505958,,1,25.12804675505958,,1,15043.422043340828,,1,0.2512804675505958,,1,25.12804675505958,,1,15043.422043340828,,1,390.764491152367,,1,227.82190842878083,,1,0.0,,1,0.9152584237427228,,1,0.0,,1,0.9152584237427228,,1,0.1006362168186392,,1,0.1006362168186392,,1,0.395571231842041,,1,22.463380767391584,,1,13.287906435392408,,1,1.2554376461036298,,1,0.7053460007930825,,1,465.5475328261715,,1,1.6443420028686524,,1,Front-loaded decisions,Front-loaded,tree,,,,,,,,,
10,higher_fragility_weight,1.0550720494331296,,1,105.50720494331296,,1,63164.05839446829,,1,1.0550720494331296,,1,105.50720494331296,,1,63164.05839446829,,1,1511.6251154462338,,1,280.0175523758983,,1,0.0,,1,0.9934319300189433,,1,0.0,,1,0.9934319300189433,,1,0.2941151707185376,,1,0.2941151707185376,,1,0.9931345273230434,,1,45.73656840838544,,1,8.859470359054072,,1,0.8524891856551475,,1,1.9010158289558117,,1,1076.8445830544508,,1,3.8034801038010606,,1,Higher fragility weight,Higher fragility,tree,,,,,,,,,
10,lower_fragility_weight,0.0752948992277764,,1,7.5294899227776435,,1,4507.684014740176,,1,0.0752948992277764,,1,7.5294899227776435,,1,4507.684014740176,,1,162.51190008078484,,1,111.0823153805965,,1,0.0,,1,0.6594478913839438,,1,0.0,,1,0.6594478913839438,,1,0.0337442163311578,,1,0.0337442163311578,,1,0.0776612239959908,,1,1.5972552563337388,,1,6.744304105312547,,1,0.6547955471828404,,1,0.1250545927085068,,1,126.85480468475846,,1,0.4480588315924613,,1,lower_fragility_weight,lower_fragility_weight,tree,,,,,,,,,
