delay_year,scenario,year,mean,std,n,p05,p25,median,p75,p95
5,Delayed,2025,0.0,0.0,2028,0.0,0.0,0.0,0.0,0.0
5,Delayed,2030,1335.3134300423483,15051.578382179707,2027,27.48161430796042,55.112371674608056,100.65017632096117,190.06596475244146,262.3907331082228
5,Delayed,2035,1239.883369248859,13064.087345824253,2027,26.881993341738387,52.49513812176433,95.14576119015464,176.75043088762862,237.90958938777482
5,Delayed,2040,1144.45330845537,11207.17576677935,2027,25.979394361395183,49.57938016153064,88.32160250873902,160.0155442195445,214.21126543316262
5,Delayed,2060,762.7330652814127,7309.09513260548,2027,22.37940923865305,38.19505434377018,61.00723583673119,85.65996793778945,125.95481338323913
5,Delayed,2100,249.74493650098367,3030.198176725382,2027,7.823889837844161,12.423575337046785,17.470731138840748,24.749276564523498,43.73569941532092
5,Delayed,2150,117.5808459725929,1238.8010963262527,2027,2.2687040314666924,4.778954480676239,7.07790381075467,10.16033633846942,20.320461256632733
5,Delayed,2200,49.426855675205765,645.637877754726,2027,0.3203119927328972,1.1657992870690117,2.542039334035543,4.257985269305312,9.22254413098277
5,Optimal,2025,2095.5284456062245,24998.352472392497,2027,31.81313141436151,69.79947039817489,136.36705059951183,256.3091383639537,289.26452372459175
5,Optimal,2030,1279.140920489747,18510.793380157993,2027,27.588899275438674,54.128306663763645,96.48365294708262,174.84231709217312,261.19749872449927
5,Optimal,2035,1167.1845099830032,15646.060665685975,2027,26.660200143645774,51.52934006698862,91.58698387131814,163.30315973821217,234.31559855756007
5,Optimal,2040,1055.2280994762596,12880.506060540649,2027,25.843284234098473,48.66443831082283,84.85328142205502,147.04761237002168,208.21477689164988
5,Optimal,2060,607.4024574492843,6318.632507081746,2027,22.219619596605718,37.27780957625485,57.42885737018753,77.8640212676813,114.80492159140074
5,Optimal,2100,269.47135924631795,2504.944040608803,2027,7.609447504371296,11.809642376193743,16.256764312419442,22.47409207439208,39.21910577851085
5,Optimal,2150,101.17383082314497,1118.187060423927,2027,1.731180509411317,4.242435642202899,6.461761594033836,9.317222733865876,17.534943294037618
