delay_year,ra_bin,ra_label,eis_bin,eis_mid,ra_mid,n,median_dwl_pct,median_low,median_high,p90_dwl_pct,p90_low,p90_high
15,1,Low RA,1,0.633452322254777,7.021862586230441,141,2.0065456498695835,1.6507641879391997,2.911985089639784,6.992058198951725,6.157795659246188,8.555371264707013
15,1,Low RA,2,0.7710894606825135,7.025853087456353,145,5.818522149568913,5.125907768796032,7.546107285686265,24.73321278185464,19.363317652061603,34.627107554191596
15,1,Low RA,3,0.9126571390667383,7.181931988384284,133,13.224432020970294,10.737457793349432,15.438922246093243,76.14617764196855,46.12166753084624,91.02573776213562
15,1,Low RA,4,1.0515520025677763,7.029088686276101,140,18.47199639573578,16.31325240449258,20.31646044221982,125.07858950286128,83.21942844945161,149.09442541030324
15,1,Low RA,5,1.2928726298949955,6.9761240672298825,120,51.83785277987447,41.86194690359659,60.82000419459953,625.6591682754728,234.1249507647216,986.574525944965
15,2,Middle RA,1,0.6442173177434681,9.740944531842636,147,2.165747286527341,1.8305537342131235,2.4899405350484116,7.819005274779229,6.148162569324527,11.039964384416525
15,2,Middle RA,2,0.7743312118886183,9.61243281551668,120,6.583441286261116,5.485645768222215,8.198236735917181,25.961719269971077,20.817174576564835,30.889548769384927
15,2,Middle RA,3,0.9098630328029447,9.791643971685074,147,13.934722030825103,11.496387950097777,17.156078800530196,77.28112392002056,56.23662846183597,111.19073460495434
15,2,Middle RA,4,1.0500006675153803,9.641688901562533,125,26.06760280571449,18.075543226796015,31.404024290946808,210.76740782224033,184.35184321899447,267.6419268045726
15,2,Middle RA,5,1.2999659257017313,9.794728880272118,139,48.54027448351904,34.71459683476184,70.71900182519173,1258.2576405632872,834.9490349474173,2193.457005196717
15,3,High RA,1,0.6278050617358164,12.441089292896613,120,2.4446061229737195,2.0549462467212583,2.9626062393927963,6.9914095521812145,6.63439650279045,9.181192994026677
15,3,High RA,2,0.7750271055502558,12.351582668480592,142,5.789271312090984,4.59045755334283,7.1131193787594045,27.0359521990356,20.302037368274455,36.68812695959753
15,3,High RA,3,0.905447216321544,12.411387910766287,127,17.679477541396366,13.532716510332005,21.349480529336795,83.42728501362562,63.882235449906915,117.84771069628147
15,3,High RA,4,1.0638089923189025,12.460687149415481,142,21.39223591531273,18.444456790079002,29.472610297039836,227.37077851828428,142.51602575360718,298.00910075890647
15,3,High RA,5,1.2837341352096,12.317547360427834,148,59.029791909970086,50.74196948218284,77.04192554852676,617.3557625803173,292.8775220613502,1302.4479923806505
