RA_quintile,EIS_quintile,median_dwl_pct,p90_dwl_pct,p95_dwl_pct,n,eis_min,eis_max,ra_min,ra_max
1,1,2.2148715767230964,6.498581006213908,8.635262360189877,87,0.5506454895864734,0.7051881720965867,3.018967447888743,7.374763292046384
1,2,5.800355318467245,20.160265666316455,30.290095973891464,91,0.715481284733897,0.8452853202415753,3.044368465071699,7.370417681363694
1,3,13.224432020970294,74.50984182409692,92.11016192718309,77,0.8488777769368855,0.9792938168844261,3.3745570477079765,7.332941386620858
1,4,18.455204459527387,146.1277405550935,228.76614997870797,81,0.9811234731668365,1.1565347919638855,3.1629557490242206,7.278640960691505
1,5,51.83785277987447,617.8437396719336,1073.5371983455746,72,1.1579931605524783,1.6417426496470011,3.078664700121928,7.3871768629610095
2,1,1.879451166912955,6.893585414270736,9.3968616916895,83,0.5552278624690783,0.7013469091621436,7.391940828954451,8.919436484291102
2,2,6.438997167891379,31.024010412283065,36.339850466612326,80,0.7084100639671783,0.8440523190884456,7.411345917388318,8.888502693798074
2,3,14.427568393093265,92.96877819516166,129.54589315303429,90,0.8461800824616384,0.9764613261812426,7.392120221740303,8.917409862599492
2,4,19.865499931961004,80.96255327547907,179.04381445327962,87,0.9816501407514628,1.1562414771781937,7.431363933722901,8.924741709362976
2,5,46.018911834752295,691.3506159863907,1416.1713788581656,67,1.1609398066600232,1.7823805653235671,7.388967047487414,8.908351370522073
3,1,2.570298406342604,10.087563167746811,15.12827179220254,88,0.551872650920014,0.7068402342779361,8.9382211450131,10.429733950349265
3,2,7.860121569903897,25.87488437600168,33.19138863003211,71,0.7078287409451917,0.8460570605929082,8.934028441072918,10.454495289810673
3,3,12.452297234324648,53.900849012300846,105.85027425375053,83,0.8472024671652583,0.98014908206345,8.925981611089423,10.430740542185331
3,4,28.495926533738217,263.47581176241806,394.17154919281427,72,0.9806092192097439,1.1525413009819638,8.948431769472661,10.440256716695863
3,5,40.17507522909859,723.7796968198084,1589.310522821891,93,1.158074128948788,1.790519713414723,8.93576616673004,10.45736400194042
4,1,2.0378211546810334,6.520239604107995,10.675641010469057,74,0.550302854145392,0.7076644502556376,10.483166655962323,12.025949252513708
4,2,4.721758266062187,27.228407209544706,44.308541398231775,82,0.708520616788648,0.8445037288048535,10.493348552752847,12.0303681519976
4,3,16.81256701918617,85.1555906847899,156.48842118392835,82,0.84927840641526,0.9797573651690428,10.472569011195016,12.030965005349914
4,4,15.19938660807238,201.93051932927398,234.04977399516994,79,0.9813369295055592,1.1565817683885586,10.461070946997332,12.01549237837429
4,5,58.768953909623434,1226.2330591337575,2973.5791597943794,90,1.1584587371459376,1.7132040074813624,10.47028297746311,12.028813566109086
5,1,2.9891555921091815,7.029301647353593,9.244595066973197,76,0.5505153821836579,0.7072789389201467,12.03748991506978,14.968617291034343
5,2,6.592153544469287,25.375456683581444,36.67607463619839,83,0.708299081738838,0.8450549741520361,12.092234796918264,14.979617407555985
5,3,20.19786023635097,78.5470609556477,128.0140099426511,75,0.8460671053834976,0.9774591266790016,12.113866579197733,14.894725029385487
5,4,27.170858808288287,250.2284278489562,373.3771566544644,88,0.9854116791075589,1.1512527713873033,12.043057126188298,14.969848965542388
5,5,78.03638118825496,525.9905971257587,1967.01561060916,85,1.1659354206154247,1.6730189092186791,12.034585658186415,14.866473716157836
