delay_year,prtp_bin,prtp_label,eis_bin,eis_mid,prtp_mid,median_dwl_pct,p90_dwl_pct,n
15,1,Low PRTP,1,0.6290606873484742,0.002436733368830657,5.559392624239379,13.21982956181999,138
15,1,Low PRTP,2,0.7701619754057227,0.002229685127683975,19.774294983233357,46.269090261648934,133
15,1,Low PRTP,3,0.914162730024128,0.0023206314426569463,50.10543783251258,148.78282607912274,140
15,1,Low PRTP,4,1.0545699649186404,0.0023444064930860393,121.88988932318205,403.0314375467982,130
15,1,Low PRTP,5,1.2998946559859275,0.002458202168942913,332.2538497107636,2456.1275517844124,138
15,2,Middle PRTP,1,0.6410749212142753,0.005223506047144012,2.4397750796974513,5.226284292892573,135
15,2,Middle PRTP,2,0.7733455028642932,0.005261643117460052,6.270845069830712,11.291138506625893,135
15,2,Middle PRTP,3,0.9094518834859135,0.005146926699354207,14.381268504129954,25.92026744025652,139
15,2,Middle PRTP,4,1.0553430903436907,0.0053308367762761755,24.90823865044636,48.47324820985913,141
15,2,Middle PRTP,5,1.2856240519312543,0.005227554683181422,56.95463355248805,127.0439550303382,128
15,3,High PRTP,1,0.639971741090212,0.009687821602714572,0.9093582349388544,2.0487480923737125,135
15,3,High PRTP,2,0.776600287818903,0.009587081915430857,2.016444563482671,4.216513141612149,139
15,3,High PRTP,3,0.9007494834061858,0.009205989041592474,3.937577130017866,7.335579966037877,128
15,3,High PRTP,4,1.058696340487454,0.009460565164238516,6.617441261949532,13.56659081061721,136
15,3,High PRTP,5,1.2841915362934733,0.009166720635917181,12.417324317751744,30.001969484888093,141
