frontier_spec,frontier_label,delay_year,mv_dwl_pct,mv_utility_loss_pct,mv_extra_emissions_gtco2,mv_reentry_price_increase
baseline,Baseline,0,0.0,0.0,0.0,0.0
baseline,Baseline,5,4.388983877662818,0.1329125145982819,134.1687157811248,10.081858837759428
baseline,Baseline,10,0.6111286949528996,0.1637260390132005,142.52983163301147,11.890837608014008
baseline,Baseline,15,0.6102145331035951,0.1923806378714618,151.26974202963527,9.443109885656014
high_ra,High RA (15),0,0.0,0.0,0.0,0.0
high_ra,High RA (15),5,4.806544786576267,0.145217986701453,137.5882331498275,12.442852773592278
high_ra,High RA (15),10,0.6961206082338052,0.18029307094135208,145.70933735920283,14.256343158204942
high_ra,High RA (15),15,0.7350484645459785,0.21618966759203184,154.07777301598549,10.014948757885605
low_eis,Low EIS (0.55),0,0.0,0.0,0.0,0.0
low_eis,Low EIS (0.55),5,0.6023621708236044,0.0474567717886706,66.3776417722181,2.2200004199847285
low_eis,Low EIS (0.55),10,0.10743900245449756,0.0596321739705852,74.10816246721019,1.8963678203790124
low_eis,Low EIS (0.55),15,0.11013561594496024,0.07068390128913059,81.6003668153385,2.4212314051322323
no_endogenous_learning,No endogenous learning,0,0.0,0.0,0.0,0.0
no_endogenous_learning,No endogenous learning,5,3.7577417748308215,0.1141568260858691,128.0118240203758,6.874036506262371
no_endogenous_learning,No endogenous learning,10,0.45172034647570536,0.1366119652785647,136.1211106202726,7.902903139739436
no_endogenous_learning,No endogenous learning,15,0.49202397608124926,0.16105474167291411,141.83614524271889,7.282007967493172
