prtp_bin,prtp_label,eis_bin,median_dwl_pct,p90_dwl_pct,n
1,Low PRTP,1,5.528083044370654,11.294419254636475,73
1,Low PRTP,2,13.863362659473106,29.403622188213113,51
1,Low PRTP,3,33.31046443054674,99.50396712360056,59
1,Low PRTP,4,79.51851037144966,199.30429035148936,79
1,Low PRTP,5,229.44386275087436,1599.6996596202566,70
3,High PRTP,1,0.7627429003206667,1.6159690463660759,69
3,High PRTP,2,1.6504577964345675,3.3601580014322656,72
3,High PRTP,3,3.670443402732117,6.249759177086712,64
3,High PRTP,4,6.377391544300355,10.284495264931964,66
3,High PRTP,5,10.164067378500372,22.88721537740536,61
