sample_index,RA,EIS,PRTP,growth,terminal_rho,terminal_beta_5yr,terminal_growth_5yr,terminal_multiplier,terminal_margin,terminal_admissible
0,7.396464542262882,1.3094875508678194,0.00548614603113264,0.0188994318123072,0.23634249188754552,0.972868601142338,1.0981371912205926,0.9946334695280683,0.005366530471931696,True
1,9.10220863700188,0.918155140019188,0.003357104730038792,0.01588420730501368,-0.08914055633245344,0.9833268001553341,1.0819845133824646,0.9764441163310994,0.0235558836689006,True
2,8.740782051470294,0.9040468898674179,0.015303654781059172,0.015136494525424668,-0.1061373156724803,0.9257881765618385,1.0780085502990844,0.918436630696417,0.08156336930358299,True
3,3.410866144632381,0.8750631889253296,0.008190064267817748,0.017149815829201706,-0.14277461634297062,0.9597149789859771,1.0887411153646462,0.948135426857899,0.05186457314210102,True
4,10.44789253157358,1.2901571461489318,0.005022790711241455,0.014178991417400385,0.22490062316442572,0.9751370667171885,1.072934103712096,0.990698631342155,0.009301368657845033,True
5,5.808855141413634,1.226842665363548,0.0032576850843520906,0.018628807860620836,0.18489955702374283,0.9838173545398637,1.096679616541742,1.0007491070083196,-0.0007491070083196494,False
6,6.061353272374204,0.8633396641005363,0.01316723633196602,0.019549687870719708,-0.15829266461635605,0.9358749005244807,1.1016457925246566,0.9216432843807886,0.07835671561921143,True
7,4.67057115930978,0.6324183429461181,0.005196929035188225,0.01905433406711604,-0.5812318082703047,0.9742840355911113,1.0989721885275798,0.9222800436675799,0.07771995633242013,True
8,7.65672673609149,0.7077522174347373,0.007316125894223595,0.017626950017542872,-0.4129238670908315,0.9639507258064657,1.091297096744995,0.929795124252222,0.070204875747778,True
9,10.640466434667571,0.8340057045154885,0.015537889669863641,0.0225308271397573,-0.19903256606733288,0.9246875898236591,1.1178461867824236,0.9044101454904353,0.0955898545095647,True
10,14.279722038345009,0.8685852223868379,0.00894535824663684,0.018940186374103392,-0.15129750567484845,0.9560662770416408,1.0983568286007388,0.9425917118879212,0.057408288112078765,True
11,8.702849768994557,0.6729866723352611,0.004402232782878879,0.015527333287184916,-0.4859135271282624,0.9781817813590952,1.08008537487231,0.9422406433509043,0.057759356649095706,True
12,6.956424631829067,0.9856059276464131,0.0021545839201391817,0.012248616390585528,-0.014604287524892845,0.9892734028049168,1.06276185723449,0.9883943510555439,0.011605648944456148,True
13,7.763568091452843,1.2688564019565365,0.00297257978020137,0.016206714511366325,0.21188875395353512,0.9852252011306498,1.0837030627391124,1.0021497264915067,-0.002149726491506687,False
14,10.996860127994937,0.7932200525146755,0.01705181578402966,0.015320088801903753,-0.2606842159748588,0.9175994059597674,1.0789837285278445,0.8995942308393325,0.10040576916066746,True
15,8.426754560885092,0.8212550721288819,0.00611387546577136,0.012887483021422034,-0.2176484918476913,0.9698021390463936,1.066119830035808,0.9563815713955045,0.043618428604495496,True
16,9.052453046469733,0.6820195880487603,0.004317721568491746,0.012893753687659165,-0.4662335474278285,0.9785970161485031,1.066152831551332,0.9498029617765187,0.050197038223481316,True
17,12.369363267094844,1.0812918774099367,0.00475973979684714,0.014130019509831247,0.07518032744744052,0.9764267764840288,1.0726750835782226,0.9815903704575832,0.01840962954241676,True
18,6.859541608665716,1.0178143611395931,0.0024816359504627686,0.016989193413149323,0.017502564141114396,0.9876532527751631,1.087881748319986,0.9891104079822286,0.010889592017771399,True
19,10.916136615612004,1.298709790441434,0.004471716445107442,0.0205587106874032,0.23000503471980593,0.97784048807607,1.1071079497376854,1.0009950524939117,-0.0009950524939117411,False
20,7.823351052050774,0.6376590419672661,0.009899702306877332,0.021351277202532992,-0.5682362111809189,0.9514718753374811,1.1114135355212584,0.8960406903048882,0.1039593096951118,True
21,11.680638322394053,0.8083919038806322,0.006685394007295462,0.01763676388820088,-0.23702376928760138,0.9670169968655253,1.091349719442968,0.9471870487453847,0.05281295125461527,True
22,5.300841236213648,0.7940814367361972,0.021097559632245588,0.014745617078235816,-0.2593166818130912,0.898870351765101,1.07593471657499,0.8819712661231065,0.1180287338768935,True
23,4.261182449710679,0.6277937576503669,0.006787814770119211,0.01269853697555302,-0.592879807761522,0.966518553595873,1.0651258203852265,0.9310322984886947,0.06896770151130527,True
24,6.052491984984078,1.1103026726246679,0.0042916222481327974,0.01747971909857244,0.09934468802450147,0.978725280237295,1.0905078773326369,0.987186092278757,0.012813907721243023,True
25,4.167979770898826,1.0966446199507536,0.002694662887959511,0.019520763215620705,0.0881275649308283,0.9865991022394043,1.1014895327708942,0.9950395524157354,0.004960447584264616,True
26,7.715816273202723,0.970134596412322,0.003869324632990144,0.016400633226584,-0.030784804189154746,0.9808025153834556,1.0847374513246957,0.9783496838682438,0.021650316131756164,True
27,6.125809913436116,0.7065494034819823,0.009579960460737955,0.017854002347900733,-0.41532919718260164,0.9530092040834989,1.0925150879909344,0.9186224520613406,0.08137754793865937,True
28,4.278873419280898,0.7092168871844294,0.013694566327912688,0.012507907354522445,-0.410005906613379,0.933377072259525,1.064123705261311,0.9098927419177485,0.0901072580822515,True
29,6.458422515622791,0.6866427052185855,0.006576618955493703,0.016100527967371166,-0.45636149980164786,0.9675465892189633,1.0831369838360274,0.9329185415144127,0.06708145848558733,True
30,3.136441359562438,1.2746630908434744,0.009045374502440192,0.0115199786731817,0.21547897073078615,0.9555839480808573,1.0589423688678736,0.9674495096826865,0.032550490317313496,True
31,9.4922055749894,1.263153494770619,0.0027468397192259133,0.0139871423156642,0.20833057570600788,0.9863410457202049,1.071919669456837,1.0007159529195246,-0.0007159529195246428,False
32,7.844410644979677,1.4498658085111584,0.003137026917109743,0.011556827520347654,0.3102809969517921,0.9844129665642845,1.059135264952116,1.0021189614830965,-0.0021189614830965375,False
33,7.67333984044825,1.1793456757735,0.008040110644428607,0.012941874216284883,0.15207218668595368,0.9604407040306284,1.0664061094127926,0.9698773384322515,0.030122661567748454,True
34,5.644364282587456,1.0026366836512803,0.012041333719860334,0.01854538295513303,0.0026297498328889946,0.941225914263545,1.096230604065862,0.9414533560651839,0.05854664393481612,True
35,8.258783682893059,1.2550092061229812,0.006203786651322746,0.013599950148756304,0.203193096017809,0.9693635561791484,1.0698746629814044,0.9827587775196779,0.017241222480322116,True
