delay_year,median,p95,expected_shortfall_95,p99
5,4.6103805125582795,75.91834408221447,315.3577606889098,318.7395269334345
10,7.646487565925407,161.24305246114443,844.2104705279755,892.533603229347
15,10.83208696649428,278.0194551847092,1507.1375175872936,1810.7624918419635
