delay_year,mean,std,n,p05,p25,median,p75,p95
5,151.4999843111225,51.93282809633475,2040,65.88467359542842,109.09825563430783,155.26497364044184,204.45781946182245,213.68173360824576
10,293.25429369092217,106.13399676635292,2044,123.62442016601561,207.2095870971679,294.7343587875366,393.9124941825866,431.78567886352533
15,437.71923966085524,160.40318875773215,2042,186.08819246292106,307.4464797973633,437.22665309906,583.1204652786255,652.0111322402954
