PRTP_quintile,EIS_quintile,median_dwl_pct,p90_dwl_pct,p95_dwl_pct,n
1,1,6.7496221052622065,16.8272133208923,20.613255811017858,74
1,2,24.076604236868796,53.18927154541625,71.03177707191027,87
1,3,77.00250633482068,184.33295705012452,209.23682702098486,84
1,4,192.77678755943816,508.58990343852787,1149.4231113221074,83
1,5,923.7510187945627,4292.693041334123,6569.1453343132935,80
2,1,4.026091340771062,7.028958944085114,8.589494042641906,89
2,2,13.187685202571025,20.290489489760414,24.98829638848408,72
2,3,27.52889375536095,45.095280818358155,48.53634221692309,91
2,4,52.527348473002135,84.80919389778501,101.20037098757761,74
2,5,156.31449664359957,340.7581781873426,449.1581569703781,81
3,1,2.3894500744835905,4.815642065189941,5.4103150823258055,88
3,2,6.026151190885963,10.481460683258716,11.358271746129,81
3,3,14.607466306509211,21.09986104724409,24.396960916379957,69
3,4,24.616721144992397,37.33567207801691,42.45316753216833,88
3,5,57.693093234795825,116.34618929698928,132.65943897168953,81
4,1,1.5070372777519,2.6967124275119123,3.108973150357741,75
4,2,3.657616356548902,6.304262570345966,6.982131151719272,81
4,3,7.057315910603494,11.517340924138587,12.981342261438131,90
4,4,12.830127250353998,19.35307149476359,20.996774659921893,81
4,5,24.132242341523053,51.930314415909606,58.88751078639596,80
5,1,0.6555675407244215,1.2246322804387153,1.4291944413240607,82
5,2,1.3560288883853384,2.530956192960814,2.803013988816546,86
5,3,2.466505954355062,4.695136404603532,4.964552264944909,73
5,4,4.165902402483153,7.632111815826609,7.968223654116008,81
5,5,8.692334071932995,16.24654564697065,18.96505087916338,85
