parameter,spearman_corr
PRTP,-0.6192111729415215
growth,-0.07466000983112518
tech_chg,-0.03577913353577443
bs_premium,-0.0016537641629930512
tech_scale,0.016257106186231184
RA,0.0675792409115927
EIS,0.6342285277083083
