delay_year,tree_spec,delay_window_years_mean,delay_window_years_std,delay_window_years_count,delay_window_dwl_fraction_mean,delay_window_dwl_fraction_std,delay_window_dwl_fraction_count,dwl_pct_loss_mean,dwl_pct_loss_std,dwl_pct_loss_count,deadweight_per_ton_mean,deadweight_per_ton_std,deadweight_per_ton_count,carbon_price_optimal_mean,carbon_price_optimal_std,carbon_price_optimal_count,carbon_price_delayed_mean,carbon_price_delayed_std,carbon_price_delayed_count,m_optimal_period0_mean,m_optimal_period0_std,m_optimal_period0_count,m_delayed_period0_mean,m_delayed_period0_std,m_delayed_period0_count,mitigation_foregone_mean,mitigation_foregone_std,mitigation_foregone_count,utility_loss_mean,utility_loss_std,utility_loss_count,welfare_loss_mean,welfare_loss_std,welfare_loss_count,extra_cumulative_emissions_mean,extra_cumulative_emissions_std,extra_cumulative_emissions_count,reentry_price_increase_mean,reentry_price_increase_std,reentry_price_increase_count,reentry_price_pct_increase_mean,reentry_price_pct_increase_std,reentry_price_pct_increase_count,reentry_price_annualized_increase_mean,reentry_price_annualized_increase_std,reentry_price_annualized_increase_count,peak_catchup_mitigation_mean,peak_catchup_mitigation_std,peak_catchup_mitigation_count,ppm_at_reentry_mean,ppm_at_reentry_std,ppm_at_reentry_count,temperature_at_reentry_mean,temperature_at_reentry_std,temperature_at_reentry_count
5,back_loaded_decisions,5.0,,1,0.0409038169500409,,1,4.090381695004095,,1,132.60912002564174,,1,194.7671394218355,,1,0.0,,1,0.6119407970893966,,1,0.0,,1,0.6119407970893966,,1,0.009513896946923,,1,0.009513896946923,,1,0.1308602640444514,,1,11.299008941278371,,1,5.629073152628326,,1,1.1012892585887668,,1,0.639948255331925,,1,447.78084386976184,,1,1.5307992167000002,,1
5,default,5.0,,1,0.0438895908109147,,1,4.388959081091479,,1,138.7792810508679,,1,204.09575492554995,,1,0.0,,1,0.6274163955145364,,1,0.0,,1,0.6274163955145364,,1,0.0101968179063201,,1,0.0101968179063201,,1,0.1341696379345269,,1,10.096937391828874,,1,4.801877154747059,,1,0.9424432398789097,,1,0.6510591816006623,,1,447.78084386976184,,1,1.5307992167000002,,1
5,front_loaded_decisions,5.0,,1,0.0413332375418757,,1,4.13332375418757,,1,133.65801885966113,,1,195.6994840585151,,1,0.0,,1,0.6135124344018658,,1,0.0,,1,0.6135124344018658,,1,0.0096144696921678,,1,0.0096144696921678,,1,0.1311963502715341,,1,11.542157713463723,,1,5.730158392972031,,1,1.1206323011333286,,1,0.6234783603274212,,1,447.78084386976184,,1,1.5307992167000002,,1
5,higher_fragility_weight,5.0,,1,0.2222746678624467,,1,22.227466786244673,,1,459.03779857207905,,1,511.01177022495904,,1,0.0,,1,0.9606396027677896,,1,0.0,,1,0.9606396027677896,,1,0.0467645626654817,,1,0.0467645626654817,,1,0.701501638038307,,1,79.21987332957679,,1,4.975560150466425,,1,0.9758784721410674,,1,3.0351978756654634,,1,1529.0980303080598,,1,5.227427879281727,,1
5,lower_fragility_weight,5.0,,1,0.0050354464209243,,1,0.5035446420924384,,1,34.3430115807267,,1,60.20370348389208,,1,0.0,,1,0.2908831521404845,,1,0.0,,1,0.2908831521404845,,1,0.0012082584739072,,1,0.0012082584739072,,1,0.0096719461203748,,1,0.1952146640635792,,1,2.0228699762595945,,1,0.4013395712277878,,1,0.0429623362314016,,1,69.62455409877815,,1,0.2380209299629972,,1
10,back_loaded_decisions,10.0,,1,0.0464393239928568,,1,4.6439323992856885,,1,303.6041669799307,,1,194.7671394218355,,1,0.0,,1,0.6119407970893966,,1,0.0,,1,0.6119407970893966,,1,0.0211682471587453,,1,0.0211682471587453,,1,0.2701622888430077,,1,21.125723484898117,,1,10.392107563162917,,1,0.9935881912964684,,1,0.5973406023758238,,1,465.54753150983714,,1,1.6443419239,,1
10,default,10.0,,1,0.0500011369725519,,1,5.000113697255191,,1,319.4281506500242,,1,204.09575492554995,,1,0.0,,1,0.6274163955145364,,1,0.0,,1,0.6274163955145364,,1,0.0227577264378124,,1,0.0227577264378124,,1,0.2766948207545785,,1,21.957559276273912,,1,10.313321840908388,,1,0.9863780659113974,,1,0.6095199838511507,,1,465.54753150983714,,1,1.6443419239,,1
10,front_loaded_decisions,10.0,,1,0.0470338340310631,,1,4.703383403106316,,1,306.79969023868966,,1,195.6994840585151,,1,0.0,,1,0.6135124344018658,,1,0.0,,1,0.6135124344018658,,1,0.0214386616289887,,1,0.0214386616289887,,1,0.270382718172899,,1,20.392699445569207,,1,10.002476850324628,,1,0.9578855999387016,,1,0.5781970643821479,,1,465.54753150983714,,1,1.6443419239,,1
10,higher_fragility_weight,10.0,,1,0.2583395001867581,,1,25.83395001867581,,1,1199.109969649361,,1,511.01177022495904,,1,0.0,,1,0.9606396027677896,,1,0.0,,1,0.9606396027677896,,1,0.1047184303958701,,1,0.1047184303958701,,1,1.4111488854944163,,1,169.80483641864453,,1,12.08097188252505,,1,1.1470425292621655,,1,2.8508375516385636,,1,1589.7683502814602,,1,5.615157574091677,,1
10,lower_fragility_weight,10.0,,1,0.006016241393968,,1,0.6016241393968035,,1,80.98066816544932,,1,60.20370348389208,,1,0.0,,1,0.2908831521404845,,1,0.0,,1,0.2908831521404845,,1,0.0028380103200174,,1,0.0028380103200174,,1,0.0198148793063407,,1,0.3801855771425888,,1,3.901625194999117,,1,0.3834769375640201,,1,0.0388021072210467,,1,72.38706107442783,,1,0.2556754600041872,,1
