delay_year,dam_func,tip_on,d_unc,t_unc,delay_window_years_mean,delay_window_years_std,delay_window_years_count,delay_window_dwl_fraction_mean,delay_window_dwl_fraction_std,delay_window_dwl_fraction_count,dwl_pct_loss_mean,dwl_pct_loss_std,dwl_pct_loss_count,deadweight_per_ton_mean,deadweight_per_ton_std,deadweight_per_ton_count,carbon_price_optimal_mean,carbon_price_optimal_std,carbon_price_optimal_count,carbon_price_delayed_mean,carbon_price_delayed_std,carbon_price_delayed_count,m_optimal_period0_mean,m_optimal_period0_std,m_optimal_period0_count,m_delayed_period0_mean,m_delayed_period0_std,m_delayed_period0_count,mitigation_foregone_mean,mitigation_foregone_std,mitigation_foregone_count,utility_loss_mean,utility_loss_std,utility_loss_count,welfare_loss_mean,welfare_loss_std,welfare_loss_count,extra_cumulative_emissions_mean,extra_cumulative_emissions_std,extra_cumulative_emissions_count,reentry_price_increase_mean,reentry_price_increase_std,reentry_price_increase_count,reentry_price_pct_increase_mean,reentry_price_pct_increase_std,reentry_price_pct_increase_count,reentry_price_annualized_increase_mean,reentry_price_annualized_increase_std,reentry_price_annualized_increase_count,peak_catchup_mitigation_mean,peak_catchup_mitigation_std,peak_catchup_mitigation_count,ppm_at_reentry_mean,ppm_at_reentry_std,ppm_at_reentry_count,temperature_at_reentry_mean,temperature_at_reentry_std,temperature_at_reentry_count
5,0,0,1,1,5.0,,1,0.0381372664439603,,1,3.813726644396035,,1,125.77200759825242,,1,188.6970684521171,,1,0.0,,1,0.6015677317649073,,1,0.0,,1,0.6015677317649073,,1,0.0088954846569162,,1,0.0088954846569162,,1,0.1286420395466412,,1,6.713377821062892,,1,3.4681876892504357,,1,0.6842103797412014,,1,0.6007540032742478,,1,447.78084386976184,,1,1.5307992167000002,,1
5,0,1,1,1,5.0,,1,0.0438895991520595,,1,4.388959915205954,,1,138.78635024025434,,1,204.07622088614696,,1,0.0,,1,0.6273845568117368,,1,0.0,,1,0.6273845568117368,,1,0.0101968197962376,,1,0.0101968197962376,,1,0.1341628293983499,,1,10.086875795151911,,1,4.796952007739083,,1,0.9414944673348024,,1,0.6510857357052025,,1,447.78084386976184,,1,1.5307992167000002,,1
5,1,0,1,1,5.0,,1,0.1418222263386028,,1,14.182222633860286,,1,322.12640012320105,,1,406.9063896437936,,1,0.0,,1,0.8734477778695212,,1,0.0,,1,0.8734477778695212,,1,0.031033087751032,,1,0.031033087751032,,1,0.1867821321681662,,1,11.313425940986292,,1,2.6718825557705146,,1,0.5287552250470284,,1,0.9021758562824018,,1,447.78084386976184,,1,1.5307992167000002,,1
5,1,1,1,1,5.0,,1,0.1433147555250264,,1,14.331475552502646,,1,324.9218384816551,,1,408.633580406051,,1,0.0,,1,0.8750461736334186,,1,0.0,,1,0.8750461736334186,,1,0.031335412134843,,1,0.031335412134843,,1,0.1871239405468623,,1,13.361574488853703,,1,3.142233764449383,,1,0.6206935684188064,,1,0.9040712392257904,,1,447.78084386976184,,1,1.5307992167000002,,1
5,2,0,1,1,5.0,,1,0.0037830132260705,,1,0.3783013226070567,,1,29.0516961207388,,1,51.30913404546868,,1,0.0,,1,0.2583362384503421,,1,0.0,,1,0.2583362384503421,,1,0.0009095495664519,,1,0.0009095495664519,,1,0.0552438218478896,,1,1.3235513244339785,,1,2.4794793855132884,,1,0.4910495444779394,,1,0.2808974634274704,,1,447.78084386976184,,1,1.5307992167000002,,1
5,2,1,1,1,5.0,,1,0.0096947886462446,,1,0.9694788646244628,,1,51.60569037690911,,1,85.7271479939525,,1,0.0,,1,0.3727002791201044,,1,0.0,,1,0.3727002791201044,,1,0.0023168063970357,,1,0.0023168063970357,,1,0.0796999598115903,,1,3.865839563794083,,1,4.317609052691806,,1,0.8489834474118219,,1,0.4159687490298722,,1,447.78084386976184,,1,1.5307992167000002,,1
5,3,0,1,1,5.0,,1,0.009764950304483,,1,0.9764950304483014,,1,51.960330487589474,,1,85.77337186522792,,1,0.0,,1,0.3728353626546261,,1,0.0,,1,0.3728353626546261,,1,0.0023345862465902,,1,0.0023345862465902,,1,0.0797288467024133,,1,4.166658044736465,,1,4.634451648370904,,1,0.910170631592666,,1,0.4185789134431563,,1,447.78084386976184,,1,1.5307992167000002,,1
5,3,1,1,1,5.0,,1,0.0150933816832449,,1,1.5093381683244982,,1,68.73859793314035,,1,108.88332847320098,,1,0.0,,1,0.4356170302308959,,1,0.0,,1,0.4356170302308959,,1,0.0035913237593128,,1,0.0035913237593128,,1,0.093154370274723,,1,7.85609691473347,,1,6.887592412273298,,1,1.3410638277136178,,1,0.4974713316510391,,1,447.78084386976184,,1,1.5307992167000002,,1
10,0,0,1,1,10.0,,1,0.0429133252881678,,1,4.291332528816789,,1,284.85683696054656,,1,188.6970684521171,,1,0.0,,1,0.6015677317649073,,1,0.0,,1,0.6015677317649073,,1,0.0196253941977175,,1,0.0196253941977175,,1,0.2644090576904983,,1,13.385551430105892,,1,6.8462980243837155,,1,0.664408955259721,,1,0.5572521239353789,,1,465.54753150983714,,1,1.6443419239,,1
10,0,1,1,1,10.0,,1,0.0500011212599548,,1,5.000112125995484,,1,319.4442581845828,,1,204.07622088614696,,1,0.0,,1,0.6273845568117368,,1,0.0,,1,0.6273845568117368,,1,0.0227577194950656,,1,0.0227577194950656,,1,0.2766894381352789,,1,21.97376634339622,,1,10.321095443742422,,1,0.987089678152686,,1,0.6095545185707829,,1,465.54753150983714,,1,1.6443419239,,1
