delay_year,top_1pct_share,top_5pct_share,top_10pct_share
5,39.51556503549626,63.681581040655026,74.66576293577893
10,45.70184907979782,71.12015539956593,80.79372538839426
15,45.91726457827541,74.0371093208757,83.41087593950378
