delay_year,n,p_dwl_gt_10pct,p_dwl_gt_25pct,p_dwl_gt_50pct,p_dwl_gt_100pct,p_dwl_gt_250pct
5,2041,0.315531602155806,0.1543361097501225,0.08329250367466928,0.03723664870161685,0.013718765311121999
10,2045,0.4400977995110024,0.24547677261613693,0.14767726161369193,0.08753056234718827,0.03471882640586797
15,2043,0.5149290259422418,0.3210964268232991,0.19970631424375918,0.1179637787567303,0.05531081742535487
