delay_year,ra,eis,pref,delay_window_years_mean,delay_window_years_std,delay_window_years_count,delay_window_dwl_fraction_mean,delay_window_dwl_fraction_std,delay_window_dwl_fraction_count,dwl_pct_loss_mean,dwl_pct_loss_std,dwl_pct_loss_count,deadweight_per_ton_mean,deadweight_per_ton_std,deadweight_per_ton_count,carbon_price_optimal_mean,carbon_price_optimal_std,carbon_price_optimal_count,carbon_price_delayed_mean,carbon_price_delayed_std,carbon_price_delayed_count,m_optimal_period0_mean,m_optimal_period0_std,m_optimal_period0_count,m_delayed_period0_mean,m_delayed_period0_std,m_delayed_period0_count,mitigation_foregone_mean,mitigation_foregone_std,mitigation_foregone_count,utility_loss_mean,utility_loss_std,utility_loss_count,welfare_loss_mean,welfare_loss_std,welfare_loss_count,extra_cumulative_emissions_mean,extra_cumulative_emissions_std,extra_cumulative_emissions_count,reentry_price_increase_mean,reentry_price_increase_std,reentry_price_increase_count,reentry_price_pct_increase_mean,reentry_price_pct_increase_std,reentry_price_pct_increase_count,reentry_price_annualized_increase_mean,reentry_price_annualized_increase_std,reentry_price_annualized_increase_count,peak_catchup_mitigation_mean,peak_catchup_mitigation_std,peak_catchup_mitigation_count,ppm_at_reentry_mean,ppm_at_reentry_std,ppm_at_reentry_count,temperature_at_reentry_mean,temperature_at_reentry_std,temperature_at_reentry_count
5,3.0,0.55,0.001,5.0,,1,0.0140042060120263,,1,1.4004206012026348,,1,65.06643609489522,,1,105.50819897635988,,1,0.0,,1,0.4269926860955479,,1,0.0,,1,0.4269926860955479,,1,0.0143470942245294,,1,0.0143470942245294,,1,0.0913101004431808,,1,3.2408080453728587,,1,2.8749039987367455,,1,0.5684805493037626,,1,0.5168088870402405,,1,447.78084386976184,,1,1.5307992167000002,,1
5,3.0,0.55,0.005,5.0,,1,0.0056890089745703,,1,0.5689008974570346,,1,37.18766249612841,,1,63.83381199274106,,1,0.0,,1,0.3034986075795863,,1,0.0,,1,0.3034986075795863,,1,0.0018601020475088,,1,0.0018601020475088,,1,0.0649015527545975,,1,1.9371190580504845,,1,2.7971708474331676,,1,0.5532778740701128,,1,0.3927670663038531,,1,447.78084386976184,,1,1.5307992167000002,,1
5,3.0,0.55,0.024,5.0,,1,0.0005655627451501,,1,0.0565562745150195,,1,9.940564792911267,,1,18.75207133462024,,1,0.0,,1,0.1128726439670168,,1,0.0,,1,0.1128726439670168,,1,0.0001471271618176,,1,0.0001471271618176,,1,0.0241372107615198,,1,0.3079878322815546,,1,1.4322984908003478,,1,0.284832479085817,,1,0.1972917958908455,,1,447.78084386976184,,1,1.5307992167000002,,1
5,3.0,0.9,0.005,5.0,,1,0.0418455740629075,,1,4.184557406290754,,1,134.18790371574283,,1,198.77945961084532,,1,0.0,,1,0.6186644008243304,,1,0.0,,1,0.6186644008243304,,1,0.0097346904521993,,1,0.0097346904521993,,1,0.1322980707150778,,1,9.400747476756692,,1,4.553496803941452,,1,0.8945511174111465,,1,0.6467678652065927,,1,447.78084386976184,,1,1.5307992167000002,,1
5,3.0,0.9,0.024,5.0,,1,0.0016096961998164,,1,0.1609696199816419,,1,17.692657417038003,,1,32.54509817967131,,1,0.0,,1,0.1804969282033137,,1,0.0,,1,0.1804969282033137,,1,0.0003365109169541,,1,0.0003365109169541,,1,0.0385983019864704,,1,0.4720533904455095,,1,1.301991334069103,,1,0.2590526201932785,,1,0.2667135335106805,,1,447.78084386976184,,1,1.5307992167000002,,1
5,7.0,0.55,0.001,5.0,,1,0.0148966507118964,,1,1.489665071189643,,1,67.83330248098977,,1,108.90703393679912,,1,0.0,,1,0.4356770047923149,,1,0.0,,1,0.4356770047923149,,1,0.0152411130243557,,1,0.0152411130243557,,1,0.0931671955136685,,1,3.706117060079322,,1,3.2165247420013197,,1,0.6351843481044339,,1,0.5213101070026533,,1,447.78084386976184,,1,1.5307992167000002,,1
5,7.0,0.55,0.005,5.0,,1,0.0060236218427361,,1,0.6023621842736149,,1,38.49933515110873,,1,65.8649463292269,,1,0.0,,1,0.3104012307449401,,1,0.0,,1,0.3104012307449401,,1,0.0019679401203909,,1,0.0019679401203909,,1,0.0663776417722181,,1,2.2224359926748036,,1,3.1403364498610684,,1,0.6203233795881724,,1,0.3961769844854138,,1,447.78084386976184,,1,1.5307992167000002,,1
5,7.0,0.55,0.024,5.0,,1,0.0005833105508902,,1,0.0583310550890275,,1,10.104722739183469,,1,19.063936494384738,,1,0.0,,1,0.1145234427997473,,1,0.0,,1,0.1145234427997473,,1,0.000151718595156,,1,0.000151718595156,,1,0.0244902252559984,,1,0.2996920386729016,,1,1.377608685065673,,1,0.2740159219802862,,1,0.1981915788099266,,1,447.78084386976184,,1,1.5307992167000002,,1
5,7.0,0.9,0.005,5.0,,1,0.043889861981258,,1,4.388986198125802,,1,138.7871813507201,,1,204.07622088614696,,1,0.0,,1,0.6273845568117368,,1,0.0,,1,0.6273845568117368,,1,0.0101968793796052,,1,0.0101968793796052,,1,0.1341628293983499,,1,10.0461379633785,,1,4.777578573597033,,1,0.9377620534000596,,1,0.6510759489162894,,1,447.78084386976184,,1,1.5307992167000002,,1
5,7.0,0.9,0.024,5.0,,1,0.001683252848899,,1,0.1683252848899012,,1,18.147887484202744,,1,33.32183487632399,,1,0.0,,1,0.1840103472927164,,1,0.0,,1,0.1840103472927164,,1,0.0003518106483075,,1,0.0003518106483075,,1,0.0393496278531637,,1,0.4906166273920647,,1,1.3310155099612642,,1,0.2647970343060635,,1,0.2683623910996332,,1,447.78084386976184,,1,1.5307992167000002,,1
