concentration_ppm_co2e,temperature_above_2025_c,damage_specification,tipping_points,damage_fraction,damage_percent
425.6,0.0,Statistical,False,0.0,0.0
426.45050100200405,0.005760287607074381,Statistical,False,7.142054939070919e-05,0.007142054939070918
427.301002004008,0.011509098493793543,Statistical,False,0.00014290359361978145,0.014290359361978144
428.15150300601204,0.01724647830136864,Statistical,False,0.00021444847734537233,0.021444847734537233
429.00200400801606,0.022972472399286653,Statistical,False,0.0002860545507401604,0.028605455074016038
429.8525050100201,0.028687125887465602,Statistical,False,0.00035772116943811764,0.035772116943811764
430.70300601202405,0.03439048359838463,Statistical,False,0.0004294476944818335,0.042944769448183345
431.55350701402807,0.04008259009919689,Statistical,False,0.0005012334922704812,0.05012334922704812
432.4040080160321,0.04576348969381527,Statistical,False,0.0005730779345082907,0.05730779345082907
433.2545090180361,0.051433226424984026,Statistical,False,0.0006449803981536802,0.06449803981536803
434.1050100200401,0.0570918440763262,Statistical,False,0.0007169402653689106,0.07169402653689105
434.9555110220441,0.0627393861743749,Statistical,False,0.0007889569234703523,0.07889569234703524
435.80601202404813,0.06837589599057833,Statistical,False,0.0008610297648792286,0.08610297648792285
436.65651302605215,0.0740014165432917,Statistical,False,0.0009331581870729874,0.09331581870729874
437.5070140280561,0.07961599059974585,Statistical,False,0.0010053415925371685,0.10053415925371685
438.35751503006014,0.08521966067800057,Statistical,False,0.0010775793887178536,0.10775793887178536
439.20801603206417,0.09081246904887277,Statistical,False,0.0011498709879745632,0.11498709879745632
440.05851703406813,0.09639445773785164,Statistical,False,0.0012222158075337508,0.12222158075337508
440.90901803607215,0.10196566852699512,Statistical,False,0.0012946132694428066,0.12946132694428067
441.7595190380762,0.10752614295680284,Statistical,False,0.0013670628005245035,0.13670628005245036
442.6100200400802,0.11307592232807687,Statistical,False,0.0014395638323320202,0.143956383233202
443.46052104208417,0.11861504770376126,Statistical,False,0.0015121158011044136,0.15121158011044136
444.3110220440882,0.12414355991076743,Statistical,False,0.0015847181477226294,0.15847181477226294
445.1615230460922,0.12966149954177594,Statistical,False,0.0016573703176659127,0.16573703176659127
446.01202404809624,0.13516890695702735,Statistical,False,0.0017300717609687784,0.17300717609687782
446.8625250501002,0.14066582228609284,Statistical,False,0.00180282193217841,0.180282193217841
447.7130260521042,0.1461522854296281,Statistical,False,0.0018756202903125253,0.18756202903125252
448.56352705410825,0.15162833606111353,Statistical,False,0.0019484662988177401,0.194846629881774
449.4140280561123,0.15709401362857184,Statistical,False,0.002021359425528304,0.2021359425528304
450.26452905811624,0.16254935735627565,Statistical,False,0.002094299142625364,0.20942991426253643
451.11503006012026,0.16799440624643522,Statistical,False,0.0021672849265966265,0.21672849265966265
451.9655310621243,0.17342919908087387,Statistical,False,0.002240316258196494,0.22403162581964942
452.8160320641283,0.17885377442268185,Statistical,False,0.0023133926224065643,0.23133926224065643
453.6665330661323,0.1842681706178603,Statistical,False,0.002386513508396624,0.2386513508396624
454.5170340681363,0.1896724257969473,Statistical,False,0.002459678409486033,0.2459678409486033
455.3675350701403,0.19506657787662837,Statistical,False,0.0025328868231055137,0.25328868231055135
456.2180360721443,0.20045066456133495,Statistical,False,0.002606138250759397,0.26061382507593966
457.0685370741483,0.20582472334482235,Statistical,False,0.0026794321979881916,0.2679432197988192
457.91903807615233,0.21118879151173858,Statistical,False,0.0027527681743316325,0.27527681743316323
458.76953907815636,0.2165429061391753,Statistical,False,0.002826145693292074,0.28261456932920737
459.6200400801603,0.22188710409820778,Statistical,False,0.0028995642722983235,0.28995642722983234
460.47054108216435,0.22722142205541512,Statistical,False,0.0029730234326697832,0.2973023432669783
461.32104208416837,0.2325458964743918,Statistical,False,0.003046522699581046,0.3046522699581046
462.1715430861724,0.23786056361724206,Statistical,False,0.0031200616020268194,0.31200616020268196
463.02204408817636,0.2431654595460641,Statistical,False,0.003193639672787277,0.31936396727872773
463.8725450901804,0.24846062012441486,Statistical,False,0.003267256448393687,0.32672564483936867
464.7230460921844,0.2537460810187668,Statistical,False,0.0033409114690944866,0.33409114690944863
465.57354709418837,0.25902187769994844,Statistical,False,0.0034146042788216688,0.3414604278821669
466.4240480961924,0.26428804544457496,Statistical,False,0.0034883344251575655,0.34883344251575654
467.2745490981964,0.2695446193364598,Statistical,False,0.0035621014593019023,0.35621014593019024
468.12505010020044,0.27479163426801956,Statistical,False,0.003635904936039279,0.3635904936039279
468.97555110220446,0.28002912494166304,Statistical,False,0.0037097444137069507,0.3709744413706951
469.82605210420843,0.2852571258711679,Statistical,False,0.003783619454162943,0.3783619454162943
470.67655310621245,0.29047567138304736,Statistical,False,0.0038575296227545425,0.38575296227545425
471.5270541082165,0.2956847956178991,Statistical,False,0.003931474488287032,0.3931474488287032
472.37755511022044,0.30088453253174735,Statistical,False,0.00400545362299283,0.400545362299283
473.22805611222446,0.3060749158973725,Statistical,False,0.004079466602500942,0.4079466602500942
474.0785571142285,0.3112559793056239,Statistical,False,0.004153513005806662,0.41535130058066616
474.9290581162325,0.3164277561667264,Statistical,False,0.004227592415241665,0.42275924152416655
475.7795591182365,0.32159027971157206,Statistical,False,0.004301704416444362,0.4301704416444362
476.6300601202405,0.32674358299300343,Statistical,False,0.004375848598330607,0.4375848598330607
477.4805611222445,0.33188769888708,Statistical,False,0.004450024553064631,0.4450024553064631
478.33106212424855,0.3370226600943388,Statistical,False,0.004524231876030346,0.45242318760303457
479.1815631262525,0.3421484991410406,Statistical,False,0.0045984701658028995,0.4598470165802899
480.03206412825654,0.34726524838040834,Statistical,False,0.004672739024120576,0.4672739024120576
480.88256513026056,0.35237293999384883,Statistical,False,0.004747038055856892,0.47470380558568925
481.7330661322645,0.35747160599216926,Statistical,False,0.004821366868993064,0.4821366868993064
482.58356713426855,0.36256127821678225,Statistical,False,0.00489572507459074,0.489572507459074
483.4340681362726,0.3676419883408956,Statistical,False,0.004970112286764949,0.4970112286764949
484.2845691382766,0.3727137678706977,Statistical,False,0.00504452812265741,0.504452812265741
485.13507014028056,0.3777766481465276,Statistical,False,0.005118972202410039,0.5118972202410038
485.9855711422846,0.3828306603440405,Statistical,False,0.005193444149138812,0.5193444149138812
486.8360721442886,0.38787583547535526,Statistical,False,0.00526794358890777,0.5267943588907771
487.68657314629263,0.39291220439019886,Statistical,False,0.005342470150703402,0.5342470150703402
488.5370741482966,0.39793979777703714,Statistical,False,0.005417023466409217,0.5417023466409217
489.3875751503006,0.40295864616419874,Statistical,False,0.005491603170780625,0.5491603170780626
490.23807615230464,0.4079687799209844,Statistical,False,0.005566208901420001,0.5566208901420001
491.0885771543086,0.4129702292587706,Statistical,False,0.00564084029875205,0.564084029875205
491.93907815631263,0.4179630242321052,Statistical,False,0.005715497005999448,0.5715497005999448
492.78957915831666,0.42294719473978687,Statistical,False,0.005790178669158627,0.5790178669158627
493.6400801603207,0.4279227705259422,Statistical,False,0.005864884936975897,0.5864884936975897
