temperature_c,damage_specification,tipping_points,damage_fraction,damage_percent
0.0,Statistical,False,0.0,0.0
0.012024048096192385,Statistical,False,0.00014931666941096623,0.014931666941096622
0.02404809619238477,Statistical,False,0.00029952834383338675,0.029952834383338674
0.036072144288577156,Statistical,False,0.0004506350232672617,0.04506350232672617
0.04809619238476954,Statistical,False,0.0006026367077125908,0.06026367077125908
0.06012024048096192,Statistical,False,0.0007555333971693745,0.07555333971693745
0.07214428857715431,Statistical,False,0.0009093250916376124,0.09093250916376125
0.0841683366733467,Statistical,False,0.0010640117911173048,0.10640117911173048
0.09619238476953908,Statistical,False,0.0012195934956084511,0.12195934956084512
0.10821643286573146,Statistical,False,0.0013760702051110523,0.13760702051110524
0.12024048096192384,Statistical,False,0.0015334419196251074,0.15334419196251073
0.13226452905811623,Statistical,False,0.001691708639150617,0.1691708639150617
0.14428857715430862,Statistical,False,0.0018508703636875813,0.18508703636875812
0.156312625250501,Statistical,False,0.0020109270932359992,0.20109270932359993
0.1683366733466934,Statistical,False,0.002171878827795872,0.21718788277958723
0.18036072144288576,Statistical,False,0.002333725567367199,0.2333725567367199
0.19238476953907815,Statistical,False,0.00249646731194998,0.24964673119499803
0.20440881763527055,Statistical,False,0.0026601040615442163,0.2660104061544216
0.21643286573146292,Statistical,False,0.002824635816149906,0.28246358161499063
0.22845691382765532,Statistical,False,0.0029900625757670507,0.29900625757670507
0.24048096192384769,Statistical,False,0.003156384340395649,0.31563843403956493
0.25250501002004005,Statistical,False,0.003323601110035702,0.3323601110035702
0.26452905811623245,Statistical,False,0.0034917128846872095,0.3491712884687209
0.27655310621242485,Statistical,False,0.003660719664350172,0.36607196643501716
0.28857715430861725,Statistical,False,0.0038306214490245877,0.38306214490245877
0.30060120240480964,Statistical,False,0.004001418238710458,0.4001418238710458
0.312625250501002,Statistical,False,0.0041731100334077825,0.41731100334077825
0.3246492985971944,Statistical,False,0.004345696833116562,0.43456968331165624
0.3366733466933868,Statistical,False,0.004519178637836795,0.4519178637836795
0.3486973947895792,Statistical,False,0.0046935554475684834,0.4693555447568483
0.3607214428857715,Statistical,False,0.004868827262311625,0.48688272623116247
0.3727454909819639,Statistical,False,0.005044994082066222,0.5044994082066222
0.3847695390781563,Statistical,False,0.005222055906832272,0.5222055906832272
0.3967935871743487,Statistical,False,0.005400012736609778,0.5400012736609778
0.4088176352705411,Statistical,False,0.005578864571398738,0.5578864571398737
0.42084168336673344,Statistical,False,0.005758611411199151,0.5758611411199152
0.43286573146292584,Statistical,False,0.005939253256011019,0.5939253256011019
0.44488977955911824,Statistical,False,0.006120790105834342,0.6120790105834342
0.45691382765531063,Statistical,False,0.006303221960669119,0.630322196066912
0.468937875751503,Statistical,False,0.00648654882051535,0.648654882051535
0.48096192384769537,Statistical,False,0.006670770685373036,0.6670770685373035
0.49298597194388777,Statistical,False,0.006855887555242176,0.6855887555242176
0.5050100200400801,Statistical,False,0.007041899430122769,0.7041899430122769
0.5170340681362725,Statistical,False,0.0072288063100148185,0.7228806310014818
0.5290581162324649,Statistical,False,0.007416608194918321,0.741660819491832
0.5410821643286573,Statistical,False,0.007605305084833279,0.7605305084833279
0.5531062124248497,Statistical,False,0.00779489697975969,0.779489697975969
0.5651302605210421,Statistical,False,0.007985383879697557,0.7985383879697556
0.5771543086172345,Statistical,False,0.008176765784646876,0.8176765784646876
0.5891783567134269,Statistical,False,0.008369042694607653,0.8369042694607652
0.6012024048096193,Statistical,False,0.008562214609579882,0.8562214609579881
0.6132264529058116,Statistical,False,0.008756281529563563,0.8756281529563562
0.625250501002004,Statistical,False,0.0089512434545587,0.89512434545587
0.6372745490981964,Statistical,False,0.009147100384565293,0.9147100384565293
0.6492985971943888,Statistical,False,0.009343852319583339,0.9343852319583339
