frontier_spec,frontier_label,delay_year,mv_dwl_pct,mv_dwl_trillions,mv_utility_loss_pct,mv_extra_emissions_gtco2,mv_reentry_price_increase
baseline,Baseline 5-year frontier,0,0.0,0.0,0.0,0.0,0.0
baseline,Baseline 5-year frontier,5,14.30945510390104,8.566649626074785,0.2509571816281997,203.0794620513916,6.35974248589892
baseline,Baseline 5-year frontier,10,11.366037189447958,6.804511949053307,0.17198182493092487,187.33477592468262,13.421930291605747
baseline,Baseline 5-year frontier,15,14.064728010904968,8.4201387181134,0.18821533864982448,181.4403533935547,-1.0362714163978808
baseline,Baseline 5-year frontier,20,15.085450789914816,9.031215404796384,0.1777021971684699,201.3840675354004,14.732617559674225
high_ra,High RA (15),0,0.0,0.0,0.0,0.0,0.0
high_ra,High RA (15),5,16.55701685513347,9.912198698067487,0.2859974929636664,208.9765071868896,29.763787835650163
high_ra,High RA (15),10,14.419175260423792,8.632335854587582,0.21011660402744858,196.55871391296392,1.18798623987783
high_ra,High RA (15),15,17.51897504031419,10.488094751938284,0.22015012804355333,195.8475112915039,14.80173440621834
high_ra,High RA (15),20,20.77289329494929,12.43611984422488,0.22316097617886377,190.26589393615723,18.70653058124532
low_eis,Low EIS (0.55),0,0.0,0.0,0.0,0.0,0.0
low_eis,Low EIS (0.55),5,1.2525525613381767,0.7498663543310915,0.07633321584296715,100.3377437591552,0.962776659805769
low_eis,Low EIS (0.55),10,0.7679290433526911,0.45973651717149266,0.045884691385790294,90.7800197601319,1.2932297721550228
low_eis,Low EIS (0.55),15,0.8550135028013077,0.5118714200420449,0.05030897356824411,88.5546207427978,-0.23772898421863475
low_eis,Low EIS (0.55),20,0.9203009643425388,0.550957101777549,0.0532469361055605,94.46835517883301,1.816006710978464
no_endogenous_learning,No endogenous learning,0,0.0,0.0,0.0,0.0,0.0
no_endogenous_learning,No endogenous learning,5,13.077595148600654,7.829474681195727,0.22882460589846929,199.3584632873535,12.191017034106236
no_endogenous_learning,No endogenous learning,10,8.898836560324051,5.327471545105722,0.13796565255529522,182.9943656921387,7.438323336908185
no_endogenous_learning,No endogenous learning,15,10.856648899281655,6.499556171646356,0.15253113949596286,186.13743782043457,-5.509006168499781
no_endogenous_learning,No endogenous learning,20,12.77160410575636,7.64598349430689,0.16102733974322325,183.60495567321777,-1.7543749829214619
