Year;Node;Utility;Consumption;Cost;CertainEquivalence
2025;0;24.39361370839688;0.9553847669061236;0.04461523309387642;0.5170308843940995
2035;1;26.29352093343845;1.1176973860603772;0.03525361317323655;0.5094761039655045
2035;2;27.26451977898356;1.134880760445215;0.021335149740278826;0.5057447607139677
2060;3;32.13581058522527;1.6423075143336296;0.016884505324231663;0.4897278086742571
2060;4;33.29595507972444;1.6487412447339742;0.01651829566688887;0.486201367202471
2060;5;33.857045325453406;1.6469461560342578;0.017243827074903725;0.48454308690451714
2060;6;34.028452861922794;1.6691843618961797;0.006503351802084534;0.484067860915122
2100;7;43.32634665787808;2.860029715989829;0.005054559943592723;0.4616785156398941
2100;8;44.710612452566444;2.960128242442086;0.004850592973654054;0.4587814869571071
2100;9;45.723824587605364;2.959724329407604;0.0049148488514253255;0.45668890789257716
2100;10;45.747031014451174;2.953207821771573;0.0052918318671652705;0.45663809701640057
2100;11;46.57335584320636;3.023274706892428;0.002534950054556264;0.45501106510070716
2100;12;46.57519184195194;3.0195078570869316;0.003118211608117097;0.455005411559248
2100;13;46.665575798590595;3.014270678280722;0.0037559695211023436;0.4548227171735118
2100;14;46.83852394884324;3.044601512920331;0.0006097405148914124;0.4544956222266507
2150;15;59.84831098177796;5.884646980153154;0.0010962298594713034;0.4333059312678772
2150;16;61.36840820793035;6.143356202518418;0.0011104613815147968;0.43115749074262105
2150;17;61.23793316608293;6.142861161889124;0.0011077849195702016;0.43134434433179686
2150;18;64.08396045249769;6.142544905780481;0.0010668071459080581;0.42737098606255763
2150;19;64.0236007092902;6.124076965776138;0.0012229810449278665;0.42744886001120636
2150;20;64.24044655453554;6.33631878880136;0.000936428389649703;0.42720165420832507
2150;21;64.1743919821079;6.335400237377073;0.0010484565469009275;0.427290991608929
2150;22;64.03161651441619;6.328609853853449;0.001045191046491545;0.4274834240305799
2150;23;65.3118453500659;6.332670542335715;0.0010367360985903728;0.42576382358653636
2150;24;65.29314462676402;6.32494206184568;0.0012017591348392421;0.4257869786265111
2150;25;65.2407679924334;6.311431207288702;0.0014476807239067547;0.42585364340080173
2150;26;65.35047633551856;6.403298969656593;0.00038160351891206967;0.42572781876193727
2150;27;65.26856419296794;6.400482380979368;0.0004810646543875433;0.4258360001556621
2150;28;65.59319917313404;6.391627690775433;0.001235020471360921;0.42540390814775336
2150;29;65.57868969092624;6.391451691531753;0.0008604547403565295;0.4254230427083275
2150;30;65.67316525381796;6.417711403698584;0.0003416213416878226;0.4253039385292273
2200;31;76.5389830634562;12.087709216952556;0.0002168246953664924;0.41305783306146404
2200;32;79.91811791820335;12.61393459906303;0.00022184307996824575;0.4094949872787729
2200;33;79.91948523463046;12.614254756031388;0.00021912374802080052;0.40949359265855695
2200;34;79.91237468047733;12.612208319258684;0.0002422743562211733;0.40950080917549603
2200;35;79.89103341393005;12.60998477389056;0.0002107323529332252;0.4095228463812523
2200;36;79.57561662464988;12.557919380723142;0.00024246118411907193;0.40984754128534606
2200;37;83.77405832270573;13.218365158054489;0.00010624642640025267;0.405644413514313
2200;38;83.77630634879924;13.216496445431368;0.00019653388791729864;0.40564203109197555
2200;39;83.77196222532493;13.21510601833213;0.00022524962286955334;0.4056461846469905
2200;40;83.65504515602333;13.193765955772356;0.0002792866271930544;0.4057595191126832
2200;41;83.76437730142506;13.215957337497978;0.00013332133812235465;0.4056537327519789
2200;42;83.7694551357373;13.21541362616034;0.00019116467688071762;0.40564868183827013
2200;43;83.64135409178866;13.193627794602088;0.00018455718718515723;0.40577301609452376
2200;44;83.70983842984695;13.205430294007781;0.00017229568168548957;0.4057065311648836
2200;45;83.60241764369484;13.184569607941102;0.0002741590427280474;0.40581063288139974
2200;46;83.36327114396256;13.14466290632302;0.00033848300177703695;0.4060435580750201
2200;47;85.29445495419964;13.452359972677346;0.0001849257626134551;0.404183835465358
2200;48;85.29585245811458;13.454086581810195;5.6381625015604655e-05;0.40418264059487347
2200;49;85.27202186388112;13.44572080772936;0.0002472493322664241;0.4042048770681619
2200;50;85.28681837276886;13.451847939661343;3.957594893963317e-05;0.4041911517478926
2200;51;85.26232690188996;13.444074803466807;0.00019207987246417827;0.40421408059306385
2200;52;85.18430155114504;13.432716919406467;5.851330430344962e-05;0.4042883634040383
2200;53;85.27958255877695;13.447379641699326;0.00023247323478483705;0.4041977335838202
2200;54;85.24812193668282;13.441360227428898;0.00019750167389876843;0.40422754105148295
2200;55;85.18242448845632;13.431709119315455;9.164297319528112e-05;0.404290086568353
2200;56;85.12223786033671;13.418114528249866;0.00030876117815813154;0.40434701636405196
2200;57;85.63123973925667;13.503308158747243;9.051903731777977e-07;0.40386445133520643
2200;58;85.6250187651968;13.499786729144862;0.00014929814520877515;0.40387011072713697
2200;59;85.61395960024583;13.498592383094564;4.56568686034177e-06;0.40388061742650844
2200;60;85.59898299821602;13.492974361062496;0.00018413986070000621;0.4038944971446058
2200;61;85.59409322527405;13.490131976813938;0.00032965341076961966;0.40389894082498784
2200;62;85.82160382567535;13.526728249851757;0.00019254730161673506;0.4036841186718385
