Year;Node;Utility;Consumption;Cost;CertainEquivalence;Utility;Consumption;Cost;CertainEquivalence
2025;0;7.671834721095598;0.9751936808481351;0.02480631915186494;0.7725825702729802;7.671834715220992;0.9751966826459383;0.02480331735406172;0.7725825788298243
2030;1;8.075858828011718;1.0374171257413818;0.03671738680300172;0.7682182343887042;8.075855907993118;1.0374203501008288;0.03671437056623019;0.7682182747548764
2030;2;8.204316730324521;1.0587729229403426;0.01704108653448121;0.7668849283585258;8.204318274563898;1.0587741913864273;0.017039898205704774;0.7668849150797218
2035;3;8.527123481439537;1.0982252560371935;0.05304646939221725;0.7635981359022428;8.527117031345886;1.0982240808150996;0.05304742576684709;0.7635981992264608
2035;4;8.60204188592793;1.1312422274658396;0.02490662450818235;0.7629130086960568;8.602040388191744;1.1312497949082196;0.02490007105927766;0.7629130420743219
2035;5;8.681470002979156;1.1285651836656483;0.027100042484093943;0.7621029316123368;8.681475326604398;1.1285748754650458;0.027091658954062015;0.7621029013244215
2035;6;8.71667837613545;1.1483294393438337;0.010323733462887376;0.7617963675900988;8.716675649697235;1.1483260560054231;0.010326635877933903;0.7617963869332782
2040;7;9.037662912926093;1.1671039547918285;0.06550178997829399;0.7586877213123815;9.037660142976446;1.1671036786415603;0.06550194527530837;0.7586877473379435
2040;8;9.045950439748776;1.2053966338823243;0.03529784228712131;0.7586950969269574;9.045939687269511;1.2053814181811857;0.03530998143010337;0.7586951663294159
2040;9;9.113845629489067;1.2025474615377063;0.03739783131879795;0.7580384954508931;9.1138283623224;1.2025379793119002;0.0374053129829661;0.7580386388866546
2040;10;9.116440186824589;1.2017194129813356;0.03790615475256548;0.758011898487527;9.116450303066916;1.2017290899923163;0.03789829277448943;0.7580118237353588
2040;11;9.20231963460496;1.2309649858178628;0.015073465136077166;0.7572620665518984;9.202329729005388;1.230968910459254;0.015070270602605606;0.7572619798752421
2040;12;9.20310924681692;1.2305472229368308;0.015330269586467486;0.7572537043904177;9.203105731674292;1.230548146901437;0.015329472823283428;0.757253739571956
2040;13;9.223099173525029;1.2291565150597619;0.016333128390742205;0.7570622974168859;9.223099525528502;1.2291497047650075;0.016338584392677068;0.7570622792117243
2040;14;9.24922717254808;1.2428134484368845;0.00570883612704047;0.7568464533497791;9.24922254999042;1.2428107519868894;0.0057109960855000605;0.7568464908953716
2060;15;11.37519192469132;1.6210800366669618;0.03602116021051496;0.7398000986452159;11.375187493241018;1.6210797013504339;0.036021271203711576;0.7398001311442561
2060;16;11.396293623216032;1.6266009897130107;0.03322893564605665;0.7396517992705516;11.39629087697768;1.6265977854692453;0.03323078441630905;0.7396518145702564
2060;17;11.348707443531278;1.621642135136112;0.03526389276715649;0.7399987100198309;11.348711915234357;1.621647053683832;0.035261439856408006;0.739998684500218
2060;18;11.349473186647911;1.6210562989921262;0.035387766713900405;0.7399920447727056;11.349476028669917;1.6210614816615305;0.035384824457523736;0.7399920318639287
