sample_index,delay_year,task_id,run_type,comparison_type,tree_spec,decision_times,scenario,node,period,calendar_year,node_probability,price,mitigation,average_mitigation,ghg_level,consumption,utility,marginal_utility,damage,climate_damage,ra,eis,pref,tech_chg,tech_scale,bs_premium,backstop_smoothing_width,backstop_smoothing_mode,cost_formulation,growth
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,12,3,2040,0.125,132.07711722632345,0.5905496546031997,0.628313644042849,441.31908219160687,1.2305208181852543,9.202998370636932,0.2314892549061952,0.00042134901113454983,0.0004155969934417678,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,13,3,2040,0.125,138.91806197317788,0.6032653814195363,0.5541926561927693,446.83893697407257,1.22907273729965,9.223110688055684,0.23235523117102558,0.0005327848194851531,0.0005284200763350763,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,14,3,2040,0.125,67.62527937938225,0.39160262534054036,0.5541926561927693,446.83893697407257,1.2428388677152666,9.249279323085862,0.23022099991594241,0.000226136732065154,0.0002217719889150772,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,15,4,2060,0.0625,220.70211986217456,1.0,0.8946183935971981,419.06104376852625,1.621074498636006,11.375045827277587,0.21565719388519636,0.001323878701755398,0.0013063745015269603,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,16,4,2060,0.0625,206.499530695184,0.9740097105459415,0.8946183935971981,419.06104376852625,1.6266051359507185,11.396115005691705,0.2152848147526877,0.0008162318938280751,0.0007987276935996373,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,17,4,2060,0.0625,218.66608629063631,0.9769238953565612,0.7870800900129136,434.0673748260423,1.6216771828446952,11.348455196058424,0.21500830669115512,0.001762421953187269,0.0017541560950745836,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,18,4,2060,0.0625,219.7652539128877,0.9746950562181964,0.7638589435319465,436.4962360482387,1.6210762828557865,11.349662278494437,0.2151222842842346,0.0019949820070804826,0.001987661413353468,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,19,4,2060,0.0625,229.70761308383734,0.9877011348479704,0.7402514882296842,439.022140865258,1.6175516909433125,11.423621884635457,0.2172051050484266,0.002231503389027761,0.0022250513444934963,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,20,4,2060,0.0625,101.75674307332083,0.6936357023959059,0.7870800900129136,434.0673748260423,1.6601139456270413,11.47512260626425,0.21208383462623084,0.000865324587864979,0.0008570587297522935,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,21,4,2060,0.0625,101.47789530278179,0.6889617779317665,0.7638589435319465,436.4962360482387,1.6600616454806587,11.47631776720819,0.2121158031048072,0.0009955813317582107,0.0009882607380311964,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,22,4,2060,0.0625,101.03735919962003,0.6836858804468432,0.7402514882296842,439.022140865258,1.6600539741530915,11.43134549549834,0.21119351249919463,0.0011280974777849644,0.0011216454332506997,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,23,4,2060,0.0625,117.32259707773775,0.7180496427334193,0.6300550953567877,455.16776773101554,1.6544850588703546,11.548510776215789,0.21439901555127153,0.0018333125558571345,0.001830434487691254,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,24,4,2060,0.0625,118.49729243120966,0.7177933942924172,0.6068748739238791,457.6340546010446,1.6539641973716013,11.530235450927403,0.21409695705938286,0.0019925059132157204,0.0019899617411381705,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,25,4,2060,0.0625,121.97176440714722,0.7239481222204328,0.5820514415292426,460.2551036743258,1.652711347742117,11.525705247029475,0.21418375408588922,0.002183728826754506,0.0021814971501522276,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,26,4,2060,0.0625,51.081369006520404,0.45270907830557455,0.6300550953567877,455.16776773101554,1.6743055985295598,11.55591452611209,0.21173152082377242,0.0008533241139801799,0.0008504460458142995,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,27,4,2060,0.0625,51.706161480820526,0.4531222437995593,0.6068748739238791,457.6340546010446,1.6740610796139779,11.559251847380272,0.21183383741900336,0.0009362416886464384,0.0009336975165688884,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,28,4,2060,0.0625,53.169970785689266,0.45777791677559027,0.5820514415292426,460.2551036743258,1.673586955461737,11.582416272367366,0.21237239651536993,0.00103833884326154,0.0010361071666592618,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,29,4,2060,0.0625,59.70372859784098,0.4751258219826474,0.46188963559565455,477.0229694505898,1.6713325266509247,11.57590403598009,0.21255784598940933,0.001585526197014114,0.0015845612083063923,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,30,4,2060,0.0625,26.81090885446114,0.2766617959420747,0.46188963559565455,477.0229694505898,1.6799157105023834,11.606261148986535,0.21196742980292765,0.0006830864312106571,0.0006821214425029354,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,31,5,2100,0.03125,66.50502426776593,1.0,0.9374459093418835,397.7747952643578,2.991882705652416,17.459057988887544,0.17570855563909105,0.00978074615520277,0.009730005876182292,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,32,5,2100,0.03125,66.50502426776593,1.0,0.9374459093418835,397.7747952643578,3.0034247055569954,17.369767479161137,0.17396452664519815,0.005960706515347779,0.005909966236327301,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,33,5,2100,0.03125,67.26898040813371,1.0,0.9268833494341516,399.86811684176155,3.0000465370320435,17.457347673379072,0.17515829735443542,0.0069535907441428246,0.006907892539261745,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,34,5,2100,0.03125,71.98133398701279,1.0,0.8642333887708447,409.8187496317222,2.979726372551331,17.430832626973057,0.17618819323089788,0.012912135247227879,0.012884348886204692,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,35,5,2100,0.03125,73.13251270506431,1.0,0.8495436018308976,412.02245570237415,2.9749086681967154,17.419244970450155,0.17637488239299545,0.014320681760123131,0.014295794329416932,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,36,5,2100,0.03125,73.82503033841637,1.0,0.8408160364303818,413.0242248053039,2.972041378324044,17.32823476197371,0.17553926377960263,0.015158040534757528,0.015134368943552162,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
