sample_index,delay_year,task_id,run_type,comparison_type,tree_spec,decision_times_optimal,decision_times_delayed,ra,eis,pref,tech_chg,tech_scale,bs_premium,backstop_smoothing_width,backstop_smoothing_mode,cost_formulation,growth,baseline_num,dam_func,tip_on,d_unc,t_unc,no_free_lunch,period_len,emissions_time_step,damage_file_tag,u_optimal,u_delayed,utility_loss,m_opt_2025,m_opt_2030,m_opt_2035,m_opt_2040,m_opt_2060,m_opt_2100,m_opt_2150,m_opt_2200,m_opt_2250,m_delay_2025,m_delay_2030,m_delay_2035,m_delay_2040,m_delay_2060,m_delay_2100,m_delay_2150,m_delay_2200,m_delay_2250,T_opt_2025,T_opt_2030,T_opt_2035,T_opt_2040,T_opt_2060,T_opt_2100,T_opt_2150,T_opt_2200,T_opt_2250,T_delay_2025,T_delay_2030,T_delay_2035,T_delay_2040,T_delay_2060,T_delay_2100,T_delay_2150,T_delay_2200,T_delay_2250,conc_opt_2025,conc_opt_2030,conc_opt_2035,conc_opt_2040,conc_opt_2060,conc_opt_2100,conc_opt_2150,conc_opt_2200,conc_opt_2250,conc_delay_2025,conc_delay_2030,conc_delay_2035,conc_delay_2040,conc_delay_2060,conc_delay_2100,conc_delay_2150,conc_delay_2200,conc_delay_2250,dam_opt_2025,dam_opt_2030,dam_opt_2035,dam_opt_2040,dam_opt_2060,dam_opt_2100,dam_opt_2150,dam_opt_2200,dam_opt_2250,dam_delay_2025,dam_delay_2030,dam_delay_2035,dam_delay_2040,dam_delay_2060,dam_delay_2100,dam_delay_2150,dam_delay_2200,dam_delay_2250,price_opt_2025,price_opt_2030,price_opt_2035,price_opt_2040,price_opt_2060,price_opt_2100,price_opt_2150,price_opt_2200,price_opt_2250,price_delay_2025,price_delay_2030,price_delay_2035,price_delay_2040,price_delay_2060,price_delay_2100,price_delay_2150,price_delay_2200,price_delay_2250
no_endogenous_learning,15,12,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.9,0.005,1.5,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.648959469851411,7.617459254722074,0.03150021512933687,0.0,0.5986206599834382,0.6111415423953181,0.6221848853824664,0.6456086384848705,0.6366497930642644,0.6127108814976071,0.6057029527348097,nan,0.0,1.1102230246251565e-16,0.0,0.0,0.3982039094826905,0.5025920339834236,0.5008287149645945,0.5046326400838412,nan,1.4196,1.4642330682094047,1.5069927978868627,1.547790597660649,1.6977498400310602,1.9000300883415941,2.012934101998135,2.0733033739132187,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7588945192,1.8919294766358488,2.0772843730748782,2.184339653143411,2.240867409303942,nan,425.6,433.19799394688516,438.0988771457315,441.8861681284259,452.16679891437815,451.3037001266118,434.10132203220064,414.95581840759326,nan,425.6,447.78084386976184,465.54753150983714,481.5023071324044,478.4606381815747,470.21516793338424,450.1979839825006,429.6004800151418,nan,0.0,0.0002394249746794039,0.0004657598709956066,0.0006883024550343162,0.0016602784504739163,0.009065598705474418,0.011547379623954645,0.012666785898423655,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002605083858391802,0.0038479497951202975,0.015244141168803108,0.017783412281224435,0.018913274420684873,nan,186.99868554066813,192.05633181471973,195.98857060444323,200.34208209142446,137.580022720724,46.22688505067694,28.279148210828502,15.686802171774659,nan,0.0,0.0,0.0,222.40102970491944,149.47286956293797,50.42338018524758,30.583213184457854,16.94565835759324,nan
no_endogenous_learning,10,11,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.9,0.005,1.5,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.648959469851411,7.629778266636909,0.019181203214501785,0.0,0.5986206599834382,0.6111415423953181,0.6221848853824664,0.6456086384848705,0.6366497930642644,0.6127108814976071,0.6057029527348097,nan,0.0,1.1102230246251565e-16,0.0,0.22594187840127605,0.48792605406716866,0.551050817110347,0.5413550176278995,0.541322663863828,nan,1.4196,1.4642330682094047,1.5069927978868627,1.547790597660649,1.6977498400310602,1.9000300883415941,2.012934101998135,2.0733033739132187,nan,1.4196,1.5307992167000002,1.6443419239000001,1.682233678200694,1.821509588135404,2.0132110437793433,2.122252606930962,2.180039177136627,nan,425.6,433.19799394688516,438.0988771457315,441.8861681284259,452.16679891437815,451.3037001266118,434.10132203220064,414.95581840759326,nan,425.6,447.78084386976184,465.54753150983714,464.6762178663636,468.5098861920191,463.22314691919627,444.2903007771444,424.22907372256157,nan,0.0,0.0002394249746794039,0.0004657598709956066,0.0006883024550343162,0.0016602784504739163,0.009065598705474418,0.011547379623954645,0.012666785898423655,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.001789868901111383,0.0029521847464064363,0.012851528506735618,0.015380368202079307,0.016510002890902317,nan,186.99868554066813,192.05633181471973,195.98857060444323,200.34208209142446,137.580022720724,46.22688505067694,28.279148210828502,15.686802171774659,nan,0.0,0.0,210.76551025044503,213.99578070288166,144.81840477143194,48.8290059691571,29.773387487653864,16.55023360421417,nan
low_eis,10,2,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.55,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,4.1468056139023455,4.142364843487732,0.0044407704146136595,0.0,0.3104012307449412,0.32505113837597954,0.3403674460193835,0.37910066770093165,0.4056523383805248,0.40374663213382433,0.4155948116409607,nan,0.0,1.1102230246251565e-16,0.0,0.12748290864361672,0.28922422646770013,0.3517295664071635,0.356445004734298,0.3710748848885904,nan,1.4196,1.4962828429784467,1.5712893056954973,1.6434097102515213,1.906922967512584,2.205460291605578,2.333071201964728,2.388482841026592,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7156402670055466,1.977463958254304,2.2767582339440766,2.4055381711495976,2.462292235558579,nan,425.6,440.21923621666997,450.91226115009044,459.71216841828885,485.60639282815475,490.0655473388765,467.7451981093015,444.41707115322697,nan,425.6,447.78084386976184,465.54753150983714,472.0085434445483,495.11785713561176,497.9279269629186,474.82522396317097,451.15973995246816,nan,0.0,0.0004188864502826309,0.0009008945322945128,0.0014386860395917027,0.004049889820723274,0.019840244107006494,0.023338041916174234,0.024474456340076556,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002121851482606361,0.005028914676110998,0.02251246615180965,0.02619490454230141,0.027432250738154487,nan,65.8649463292269,70.77063327953687,74.6660699920555,80.41600062398564,62.486118074833186,21.448677034430727,13.51270069756553,6.82822647684201,nan,0.0,0.0,78.78243823241924,84.25584537305237,64.69693770995413,22.173189421055707,14.257281674220664,7.385081619241213,nan
no_endogenous_learning,5,10,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.9,0.005,1.5,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.648959469851411,7.640227660492034,0.008731809359376896,0.0,0.5986206599834382,0.6111415423953181,0.6221848853824664,0.6456086384848705,0.6366497930642644,0.6127108814976071,0.6057029527348097,nan,0.0,1.1102230246251565e-16,0.32098430240741915,0.433928524761255,0.5705801217980413,0.5956997553648471,0.5784482844906625,0.5747389220265857,nan,1.4196,1.4642330682094047,1.5069927978868627,1.547790597660649,1.6977498400310602,1.9000300883415941,2.012934101998135,2.0733033739132187,nan,1.4196,1.5307992167000002,1.5722032942352573,1.611664949023965,1.756637195030311,1.9541751799198748,2.0654250351435075,2.124638506865166,nan,425.6,433.19799394688516,438.0988771457315,441.8861681284259,452.16679891437815,451.3037001266118,434.10132203220064,414.95581840759326,nan,425.6,447.78084386976184,449.71410730213955,452.08288667914593,459.7619906298564,456.9406807157534,438.9705654752373,419.4010481493648,nan,0.0,0.0002394249746794039,0.0004657598709956066,0.0006883024550343162,0.0016602784504739163,0.009065598705474418,0.011547379623954645,0.012666785898423655,nan,0.0,0.0006332068992394159,0.0009028776705996102,0.001160702685241597,0.0022340857267990587,0.010825985102631329,0.013330389324187536,0.014456533634322227,nan,186.99868554066813,192.05633181471973,195.98857060444323,200.34208209142446,137.580022720724,46.22688505067694,28.279148210828502,15.686802171774659,nan,0.0,198.9303683209821,202.56852091191055,206.41179696435086,140.634199806654,47.35748484506527,28.961470463649427,16.14542526816668,nan
high_ra,5,4,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,15.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.669461443867282,7.658324006367653,0.011137437499628255,0.0,0.6434027447417283,0.6554840063140348,0.6703178677016736,0.6955554788681231,0.7022012237452175,0.6936770726607526,0.698166485930839,nan,0.0,1.1102230246251565e-16,0.34705802852780093,0.4696904729558248,0.6130107714787889,0.654503925168817,0.6530229773641378,0.6607398326594842,nan,1.4196,1.4592533354620898,1.4970271872353043,1.5314593405669914,1.658548247748271,1.8133564631947718,1.8888923976720229,1.9200084810566436,nan,1.4196,1.5307992167000002,1.5663434348637209,1.5995311160056327,1.7233348076056951,1.8764229399197143,1.9511752245653753,1.982057968080344,nan,425.6,432.10706864991704,436.1133660296743,438.79185107126597,445.8289479488723,439.6092932265526,419.4032469049919,398.35754955457224,nan,425.6,447.78084386976184,448.42794980707515,449.6548755765024,454.28191186245806,446.36032824942663,425.31167513361356,403.86190002820933,nan,0.0,0.00021317129533852486,0.000406451226873217,0.0005808952261959077,0.0013140748588477452,0.00643662365145581,0.007487904021862595,0.007845078998845578,nan,0.0,0.0006332068992394159,0.0008614287384861286,0.0010669348870964448,0.001902185608078703,0.00840455699396387,0.009506189305624748,0.009865457200093694,nan,214.08622821660848,217.98863652390315,219.1430284428214,208.42949153042952,127.07527031781815,36.640320993313615,13.371170431468208,4.481172011497147,nan,0.0,230.43148929749543,230.7753666354332,218.68310108622842,132.8641664636178,38.827207946080165,14.496132688355921,4.939020849265541,nan
high_ra,10,5,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,15.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.669461443867282,7.644496498805842,0.024964945061439536,0.0,0.6434027447417283,0.6554840063140348,0.6703178677016736,0.6955554788681231,0.7022012237452175,0.6936770726607526,0.698166485930839,nan,0.0,1.1102230246251565e-16,0.0,0.24436879171256953,0.5207639725610334,0.6019611865582435,0.6080610456815464,0.6193530827268705,nan,1.4196,1.4592533354620898,1.4970271872353043,1.5314593405669914,1.658548247748271,1.8133564631947718,1.8888923976720229,1.9200084810566436,nan,1.4196,1.5307992167000002,1.6443419239000001,1.675981527508399,1.7957362122354625,1.945896170072165,2.020057736581594,2.050672882277397,nan,425.6,432.10706864991704,436.1133660296743,438.79185107126597,445.8289479488723,439.6092932265526,419.4032469049919,398.35754955457224,nan,425.6,447.78084386976184,465.54753150983714,463.3039495181171,464.1371030729972,453.9316783628064,431.9326092295312,410.00492125509413,nan,0.0,0.00021317129533852486,0.000406451226873217,0.0005808952261959077,0.0013140748588477452,0.00643662365145581,0.007487904021862595,0.007845078998845578,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.0017331790649734887,0.002664313399358673,0.010751121085587942,0.011895611877757782,0.012252611730350763,nan,214.08622821660848,217.98863652390315,219.1430284428214,208.42949153042952,127.07527031781815,36.640320993313615,13.371170431468208,4.481172011497147,nan,0.0,0.0,245.8422243746186,231.85026420291047,140.24864305258157,41.51089937861908,15.79001289044976,5.510839594091461,nan
low_eis,5,1,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.55,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,4.1468056139023455,4.144837673825636,0.001967940076709418,0.0,0.3104012307449412,0.32505113837597954,0.3403674460193835,0.37910066770093165,0.4056523383805248,0.40374663213382433,0.4155948116409607,nan,0.0,1.1102230246251565e-16,0.1752692860545516,0.242863825463217,0.3390290960969687,0.3819156572483672,0.38302805303132503,0.39617904294293016,nan,1.4196,1.4962828429784467,1.5712893056954973,1.6434097102515213,1.906922967512584,2.205460291605578,2.333071201964728,2.388482841026592,nan,1.4196,1.5307992167000002,1.6049515673515207,1.6764921543083853,1.9383737940332515,2.236845483069844,2.3648124488502447,2.4206721602037278,nan,425.6,440.21923621666997,450.91226115009044,459.71216841828885,485.60639282815475,490.0655473388765,467.7451981093015,444.41707115322697,nan,425.6,447.78084386976184,456.90189701659756,464.9971391038345,489.70974840666094,493.45837321321255,470.80783744949383,447.32700946786724,nan,0.0,0.0004188864502826309,0.0009008945322945128,0.0014386860395917027,0.004049889820723274,0.019840244107006494,0.023338041916174234,0.024474456340076556,nan,0.0,0.0006332068992394159,0.0011571724228890004,0.0017323822438824225,0.0044624631838153204,0.020968771385858676,0.024548178912558893,0.02572419724764452,nan,65.8649463292269,70.77063327953687,74.6660699920555,80.41600062398564,62.486118074833186,21.448677034430727,13.51270069756553,6.82822647684201,nan,0.0,72.9906336995216,76.95590110905042,82.65012168997066,63.67135850879923,21.79304372238723,13.8500884128636,7.060605986030797,nan
low_ra,15,9,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,3.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.673125909474567,7.637543009914334,0.035582899560233194,0.0,0.6186644008243307,0.6320493448675474,0.6481855691284113,0.6767604266426128,0.6855475223956393,0.6779751156991081,0.6834936679789039,nan,0.0,1.1102230246251565e-16,0.0,0.0,0.4057600634213226,0.5276919662133144,0.542184280312554,0.5579715567237045,nan,1.4196,1.4620042199281598,1.5022939381347329,1.5389687081701975,1.6732998510253672,1.8353763741728535,1.9129480865317479,1.9443344826499134,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7588945192,1.8859989059800206,2.0440966593254615,2.12098216114043,2.152437049477018,nan,425.6,432.7097133309374,437.15786603636116,440.17884463172805,448.15467303095613,442.40655969419527,421.9734333221288,400.6796403261316,nan,425.6,447.78084386976184,465.54753150983714,481.5023071324044,477.40622181321726,465.4140240984649,442.1109139646534,419.42365068739053,nan,0.0,0.00022766257349379366,0.00043454273398653583,0.0006232708466798826,0.001429527662681249,0.006934797804935368,0.008063845289512171,0.008433853732135546,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002605083858391802,0.003767951935011716,0.014081691781176872,0.015408084937568338,0.0158106326057654,nan,198.77945961084532,206.451171078445,209.8505290832383,201.1315218642724,123.73337014292035,36.10625421196245,13.61056698374292,4.667653667766578,nan,0.0,0.0,0.0,231.4209045379919,141.7813796938637,43.16169851535649,17.507992069734094,6.403422834182452,nan
low_eis,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.55,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,4.1468056139023455,4.139433719500949,0.007371894401396517,0.0,0.3104012307449412,0.32505113837597954,0.3403674460193835,0.37910066770093165,0.4056523383805248,0.40374663213382433,0.4155948116409607,nan,0.0,1.1102230246251565e-16,0.0,0.0,0.2358947820694769,0.3194009104287707,0.327996925227922,0.34432226334234506,nan,1.4196,1.4962828429784467,1.5712893056954973,1.6434097102515213,1.906922967512584,2.205460291605578,2.333071201964728,2.388482841026592,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7588945192,2.0193204424668227,2.3195039342386994,2.4491211558013672,2.506645291426233,nan,425.6,440.21923621666997,450.91226115009044,459.71216841828885,485.60639282815475,490.0655473388765,467.7451981093015,444.41707115322697,nan,425.6,447.78084386976184,465.54753150983714,481.5023071324044,501.10991214664386,502.7992973796752,479.15851983780044,455.2549330366578,nan,0.0,0.0004188864502826309,0.0009008945322945128,0.0014386860395917027,0.004049889820723274,0.019840244107006494,0.023338041916174234,0.024474456340076556,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002605083858391802,0.0056827112029630865,0.02428855415917049,0.028098224246180976,0.0293964691131069,nan,65.8649463292269,70.77063327953687,74.6660699920555,80.41600062398564,62.486118074833186,21.448677034430727,13.51270069756553,6.82822647684201,nan,0.0,0.0,0.0,86.95360026948161,65.97256868721183,22.58929737080028,14.78058061064358,7.772578957722105,nan
high_ra,15,6,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,15.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,7.669461443867282,7.627915915604246,0.04154552826303526,0.0,0.6434027447417283,0.6554840063140348,0.6703178677016736,0.6955554788681231,0.7022012237452175,0.6936770726607526,0.698166485930839,nan,0.0,1.1102230246251565e-16,0.0,0.0,0.4189996292415478,0.5426042575902275,0.5568890724759242,0.5719579688744982,nan,1.4196,1.4592533354620898,1.4970271872353043,1.5314593405669914,1.658548247748271,1.8133564631947718,1.8888923976720229,1.9200084810566436,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7588945192,1.875607616815318,2.024379281085869,2.0984541472187876,2.129249037100741,nan,425.6,432.10706864991704,436.1133660296743,438.79185107126597,445.8289479488723,439.6092932265526,419.4032469049919,398.35754955457224,nan,425.6,447.78084386976184,465.54753150983714,481.5023071324044,475.5587190989834,462.76220299924836,439.609359125018,417.14449396225666,nan,0.0,0.00021317129533852486,0.000406451226873217,0.0005808952261959077,0.0013140748588477452,0.00643662365145581,0.007487904021862595,0.007845078998845578,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002605083858391802,0.0036482254712833532,0.013555443061921548,0.014777697295386638,0.015154858866188704,nan,214.08622821660848,217.98863652390315,219.1430284428214,208.42949153042952,127.07527031781815,36.640320993313615,13.371170431468208,4.481172011497147,nan,0.0,0.0,0.0,245.14363622011234,147.8868633179761,44.32803218184743,17.371779864981338,6.207878633961098,nan
