Node;Mitigation;Prices;Average Mitigation;GHG Level
0;0.4;95.36585536714256;0.0;425.6
1;0.7518142330450459;271.13604846894924;0.3999999999999996;438.0365427470574
2;0.5638955801111476;155.61261577612908;0.3999999999999996;438.0365427470574
3;0.8908411336621963;350.4527060839375;0.5777413833531141;438.8513862608513
4;0.6803847947989196;196.30694883856725;0.5777413833531141;438.8513862608513
5;0.7022902865323414;210.63848407142612;0.4828022984808761;443.53451497898016
6;0.4812100927138537;105.95866041625814;0.4828022984808761;443.53451497898016
7;1.0;405.8489637317256;0.6834501023452577;436.6224496854294
8;0.80994679432642;246.3835661985807;0.6834501023452577;436.6224496854294
9;0.8244223756656089;259.0526994778315;0.6123958457926675;441.91392230637797
10;0.8259780852713908;262.3706262837691;0.5569058198927564;445.1898625900437
11;0.5905608432648703;132.4053043842451;0.6123958457926675;441.91392230637797
12;0.5951896881313243;135.45985162345795;0.5569058198927564;445.1898625900437
13;0.6029807060919938;140.33796952368772;0.4822647380649453;450.7484492258424
14;0.3924952244190511;68.61244370020448;0.4822647380649453;450.7484492258424
15;1.0;223.940912878431;0.8631567643717608;422.34493439284097
16;0.9731479893736971;209.06665100825057;0.8631567643717608;422.34493439284097
17;0.9737372529414196;220.0981041473569;0.7552627879336867;437.40089748298385
18;0.9723437142366678;221.60352378184353;0.7327641675859257;439.73240811489427
19;0.9860264471833766;231.98052009118254;0.7096592373266267;442.2010805392029
20;0.6952900377872052;103.75743771296905;0.7552627879336867;437.40089748298385
21;0.6906014518992714;103.43501227889263;0.7327641675859257;439.73240811489427
22;0.6858965676819737;103.13335819510179;0.7096592373266267;442.2010805392029
23;0.7188291098989485;119.223690905961;0.6000000262119882;458.25885489357785
24;0.7172115974544176;119.85154746519423;0.5786397273164741;460.4840743811591
25;0.7205477677815604;122.55460528105134;0.5507956831960662;463.5207172909297
26;0.45272690585006925;51.79759314066307;0.6000000262119882;458.25885489357785
27;0.45709077394082004;53.12465265894814;0.5786397273164741;460.4840743811591
28;0.461069078603416;54.5700334220678;0.5507956831960662;463.5207172909297
29;0.47709264752815805;60.96210797929934;0.4313022207222882;480.1953197100107
30;0.2764723555395929;27.16565567022057;0.4313022207222882;480.1953197100107
31;1.0;67.86163072535757;0.9187704148794295;400.46341186284104
32;1.0;67.86163072535757;0.9187704148794295;400.46341186284104
33;1.0;68.66693341887411;0.9078576479637424;402.6261385742951
34;1.0;73.5675348227454;0.8440517038491082;412.7977133007194
35;1.0;74.68173459182391;0.8301302749791839;414.8664589280961
36;1.0;75.34206845546645;0.8219760014705833;415.76904554356935
37;0.7728284786864258;37.656039739787815;0.9078576479637424;402.6261385742951
38;0.7939126390703121;42.75106153918681;0.8440517038491082;412.7977133007194
39;0.7926675493570703;43.25090163931261;0.8301302749791839;414.8664589280961
40;0.7804712735424137;42.19663385585809;0.8219760014705833;415.76904554356935
41;0.7972935494294591;48.75128388958034;0.7308896170471757;435.22453408240494
42;0.8021073945805753;50.21521832038491;0.7156290675286459;437.558670881331
43;0.7920351760752063;49.68173163357414;0.7000019912181152;439.9422412247652
44;0.7991365476743321;53.55700697840829;0.6482926517113328;447.85972643837545
45;0.7994861866599742;54.38335581908893;0.6349559019572271;449.82939184144897
46;0.7963642954411804;54.80935242690268;0.6197836244833715;452.01467510678185
47;0.46450223086268266;17.746386483731214;0.7308896170471757;435.22453408240494
48;0.47509858426544416;18.717810742481024;0.7156290675286459;437.558670881331
49;0.486340163305005;19.784741016826807;0.7000019912181152;439.9422412247652
