Year;Node;Utility;Consumption;Cost;CertainEquivalence;Utility;Consumption;Cost;CertainEquivalence
2025;0;7.671834734942566;0.9751959720274883;0.02480402797251166;0.7725825765924579;7.671834715220992;0.9751966826459383;0.02480331735406172;0.7725825788298243
2030;1;8.075857234649616;1.0374150795922066;0.03671926971834012;0.7682182463679501;8.075855907993118;1.0374203501008288;0.03671437056623019;0.7682182747548764
2030;2;8.204317241854003;1.0587747271879466;0.017039403306123465;0.7668849275322778;8.204318274563898;1.0587741913864273;0.017039898205704774;0.7668849150797218
2035;3;8.527122267544742;1.0982189615040503;0.05305188807634442;0.7635981327684921;8.527117031345886;1.0982240808150996;0.05304742576684709;0.7635981992264608
2035;4;8.602040696968135;1.1312423187144367;0.02490654110385673;0.7629130210063243;8.602040388191744;1.1312497949082196;0.02490007105927766;0.7629130420743219
2035;5;8.681474751333374;1.1285665391294744;0.027098845672031645;0.7621028870722715;8.681475326604398;1.1285748754650458;0.027091658954062015;0.7621029013244215
2035;6;8.7166736624703;1.148324554420763;0.010327930117196482;0.7617964033065139;8.716675649697235;1.1483260560054231;0.010326635877933903;0.7617963869332782
2040;7;9.037665493235542;1.167104094590132;0.0655017112943098;0.7586876967965905;9.037660142976446;1.1671036786415603;0.06550194527530837;0.7586877473379435
2040;8;9.045948512907668;1.2053921381394452;0.035301459612499475;0.7586951054105582;9.045939687269511;1.2053814181811857;0.03530998143010337;0.7586951663294159
2040;9;9.11384387024593;1.2025482696865284;0.03739717637753497;0.7580385140398896;9.1138283623224;1.2025379793119002;0.0374053129829661;0.7580386388866546
2040;10;9.116439299482877;1.2017215327400133;0.03790440683717586;0.7580119117006635;9.116450303066916;1.2017290899923163;0.03789829277448943;0.7580118237353588
2040;11;9.202326120380576;1.2309640047192418;0.015074246103214516;0.7572620032141363;9.202329729005388;1.230968910459254;0.015070270602605606;0.7572619798752421
2040;12;9.20311244117908;1.2305479982038332;0.015329623731862885;0.7572536759463555;9.203105731674292;1.230548146901437;0.015329472823283428;0.757253739571956
2040;13;9.223096452738112;1.2291501369227074;0.016338251647328786;0.7570623090771846;9.223099525528502;1.2291497047650075;0.016338584392677068;0.7570622792117243
